variant,seed,step,action,forced_execute,score_Execute_Ready_Job,score_Defer_Job,score_Scale_Up,score_Scale_Down,score_Reprioritize_Queue,score_Pause_LowPriority_Job
reference_phase1,100,0,Execute_Ready_Job,True,8.312447,-7.5136,-6.0,-20.0,1.0068,17.4
reference_phase1,100,1,Execute_Ready_Job,True,8.309847,-7.5136,-6.0,-20.0,1.0068,17.4
reference_phase1,100,2,Execute_Ready_Job,True,8.315047,-7.5136,-6.0,-20.0,1.0068,17.4
reference_phase1,100,3,Execute_Ready_Job,True,8.315047,-7.5136,-6.0,-20.0,1.0068,17.4
reference_phase1,100,4,Execute_Ready_Job,True,7.712447,-7.5136,-6.0,-20.0,1.0068,17.4
reference_phase1,100,5,Execute_Ready_Job,True,8.017647,-7.3492,-6.0,-20.0,1.2046,18.2
reference_phase1,100,6,Execute_Ready_Job,True,8.312447,-7.5092,-6.0,-20.0,1.0046,17.4
reference_phase1,100,7,Execute_Ready_Job,True,8.328047,-7.514,-6.0,-20.0,1.007,17.4
reference_phase1,100,8,Execute_Ready_Job,True,8.333247,-7.5144,-6.0,-20.0,1.0072,17.4
reference_phase1,100,9,Execute_Ready_Job,True,8.328047,-7.5144,-6.0,-20.0,1.0072,17.4
reference_phase1,100,10,Execute_Ready_Job,True,8.325447,-7.5144,-6.0,-20.0,1.0072,17.4
reference_phase1,100,11,Execute_Ready_Job,True,8.325447,-7.5144,-6.0,-20.0,1.0072,17.4
reference_phase1,100,12,Execute_Ready_Job,True,8.307247,-7.5144,-6.0,-20.0,1.0072,17.4
reference_phase1,100,13,Execute_Ready_Job,True,8.291647,-7.5144,-6.0,-20.0,1.0072,17.4
reference_phase1,100,14,Execute_Ready_Job,True,8.289047,-7.5144,-6.0,-20.0,1.0072,17.4
reference_phase1,100,15,Execute_Ready_Job,True,8.270847,-7.5144,-6.0,-20.0,1.0072,17.4
reference_phase1,100,16,Execute_Ready_Job,True,8.263047,-7.5144,-6.0,-20.0,1.0072,17.4
reference_phase1,100,17,Execute_Ready_Job,True,8.265647,-7.5144,-6.0,-20.0,1.0072,17.4
reference_phase1,100,18,Execute_Ready_Job,True,8.281247,-7.5132,-6.0,-20.0,1.0066,17.4
reference_phase1,100,19,Execute_Ready_Job,True,8.268247,-7.5168,-6.0,-20.0,1.0084,17.4
reference_phase1,100,20,Execute_Ready_Job,True,8.283847,-7.5168,-6.0,-20.0,1.0084,17.4
reference_phase1,100,21,Execute_Ready_Job,True,8.281247,-7.5168,-6.0,-20.0,1.0084,17.4
reference_phase1,100,22,Execute_Ready_Job,True,8.286447,-7.5168,-6.0,-20.0,1.0084,17.4
reference_phase1,100,23,Execute_Ready_Job,True,8.283847,-7.5168,-6.0,-20.0,1.0084,17.4
reference_phase1,100,24,Execute_Ready_Job,True,8.276047,-7.5168,-6.0,-20.0,1.0084,17.4
reference_phase1,100,25,Execute_Ready_Job,True,8.291647,-7.5116,-6.0,-20.0,1.0058,17.4
