variant,hamming_seed_100,steps_seed_100,hamming_seed_101,steps_seed_101,hamming_seed_102,steps_seed_102,hamming_seed_103,steps_seed_103,hamming_seed_104,steps_seed_104,hamming_total,steps_total,hamming_fraction
midterm_weights,0,300,0,300,0,300,0,300,0,300,0,1500,0.0
alpha_0,272,300,295,300,295,300,300,300,274,300,1436,1500,0.957333
beta_0,0,300,0,300,0,300,0,300,0,300,0,1500,0.0
gamma_0,0,300,0,300,0,300,0,300,0,300,0,1500,0.0
all_zero,0,300,0,300,0,300,0,300,0,300,0,1500,0.0
alpha_100,55,300,29,300,40,300,26,300,57,300,207,1500,0.138
beta_100,272,300,295,300,295,300,300,300,274,300,1436,1500,0.957333
gamma_100,272,300,295,300,295,300,300,300,274,300,1436,1500,0.957333
alpha_beta_gamma_extreme_neg_execute,272,300,295,300,295,300,300,300,274,300,1436,1500,0.957333
best_task_cost_off,0,300,0,300,0,300,0,300,0,300,0,1500,0.0
stress_guard_disabled,272,300,295,300,295,300,300,300,274,300,1436,1500,0.957333
stress_guard_disabled_plus_alpha_0,272,300,295,300,295,300,300,300,274,300,1436,1500,0.957333
urgency_weight_off,0,300,0,300,0,300,0,300,0,300,0,1500,0.0
stress_guard_price_1_1,44,300,32,300,33,300,0,300,72,300,181,1500,0.120667
stress_guard_failure_2,0,300,0,300,0,300,0,300,0,300,0,1500,0.0
no_executable_off,0,300,0,300,0,300,0,300,0,300,0,1500,0.0
scale_up_cheaper,0,300,0,300,0,300,0,300,0,300,0,1500,0.0
pause_disabled,44,300,32,300,33,300,0,300,81,300,190,1500,0.126667
alpha_only_with_guard_off,44,300,32,300,33,300,0,300,65,300,174,1500,0.116
