variant,alpha,beta,gamma,seed,description,steps_executed,completed_jobs,failed_jobs,completion_rate,value_weighted_completion_rate,total_compute_cost,forced_execute_steps,action_count_Execute_Ready_Job,action_count_Defer_Job,action_count_Scale_Up,action_count_Scale_Down,action_count_Reprioritize_Queue,action_count_Pause_LowPriority_Job
reference_phase1,1.0,0.1,1.0,100,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,56,17,0.56,0.6600978706520301,587.674,249,249,0,23,0,0,28
reference_phase1,1.0,0.1,1.0,101,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,57,21,0.57,0.631960623461854,755.75,274,274,0,21,0,0,5
reference_phase1,1.0,0.1,1.0,102,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,58,18,0.58,0.6250197991573478,579.454,263,263,0,32,0,0,5
reference_phase1,1.0,0.1,1.0,103,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
reference_phase1,1.0,0.1,1.0,104,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,59,10,0.59,0.6719961704164671,721.95,246,246,0,28,0,0,26
midterm_weights,1.0,0.4,0.8,100,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,56,17,0.56,0.6600978706520301,587.674,249,249,0,23,0,0,28
midterm_weights,1.0,0.4,0.8,101,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,57,21,0.57,0.631960623461854,755.75,274,274,0,21,0,0,5
midterm_weights,1.0,0.4,0.8,102,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,58,18,0.58,0.6250197991573478,579.454,263,263,0,32,0,0,5
midterm_weights,1.0,0.4,0.8,103,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
midterm_weights,1.0,0.4,0.8,104,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,59,10,0.59,0.6719961704164671,721.95,246,246,0,28,0,0,26
alpha_0,0.0,0.1,1.0,100,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,101,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,102,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,103,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,104,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_0,1.0,0.0,1.0,100,Zero out beta only.,300,56,17,0.56,0.6600978706520301,587.674,249,249,0,23,0,0,28
beta_0,1.0,0.0,1.0,101,Zero out beta only.,300,57,21,0.57,0.631960623461854,755.75,274,274,0,21,0,0,5
beta_0,1.0,0.0,1.0,102,Zero out beta only.,300,58,18,0.58,0.6250197991573478,579.454,263,263,0,32,0,0,5
beta_0,1.0,0.0,1.0,103,Zero out beta only.,300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
beta_0,1.0,0.0,1.0,104,Zero out beta only.,300,59,10,0.59,0.6719961704164671,721.95,246,246,0,28,0,0,26
gamma_0,1.0,0.1,0.0,100,Zero out gamma only.,300,56,17,0.56,0.6600978706520301,587.674,249,249,0,23,0,0,28
gamma_0,1.0,0.1,0.0,101,Zero out gamma only.,300,57,21,0.57,0.631960623461854,755.75,274,274,0,21,0,0,5
gamma_0,1.0,0.1,0.0,102,Zero out gamma only.,300,58,18,0.58,0.6250197991573478,579.454,263,263,0,32,0,0,5
gamma_0,1.0,0.1,0.0,103,Zero out gamma only.,300,68,16,0.68,0.7221839713577527,396.792,278,278,0,22,0,0,0
gamma_0,1.0,0.1,0.0,104,Zero out gamma only.,300,59,10,0.59,0.6719961704164671,721.95,246,246,0,28,0,0,26
