variant,hamming_seed_100,steps_seed_100,hamming_seed_101,steps_seed_101,hamming_seed_102,steps_seed_102,hamming_seed_103,steps_seed_103,hamming_seed_104,steps_seed_104,hamming_seed_105,steps_seed_105,hamming_seed_106,steps_seed_106,hamming_seed_107,steps_seed_107,hamming_seed_108,steps_seed_108,hamming_seed_109,steps_seed_109,hamming_seed_110,steps_seed_110,hamming_seed_111,steps_seed_111,hamming_seed_112,steps_seed_112,hamming_seed_113,steps_seed_113,hamming_seed_114,steps_seed_114,hamming_seed_115,steps_seed_115,hamming_seed_116,steps_seed_116,hamming_seed_117,steps_seed_117,hamming_seed_118,steps_seed_118,hamming_seed_119,steps_seed_119,hamming_total,steps_total,hamming_fraction
midterm_weights,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,6000,0.0
alpha_0,272,300,295,300,295,300,300,300,274,300,136,300,299,300,221,300,260,300,258,300,274,300,216,300,216,300,299,300,300,300,185,300,289,300,263,300,300,300,300,300,5252,6000,0.875333
beta_0,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,6000,0.0
gamma_0,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,6000,0.0
all_zero,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,6000,0.0
alpha_100,55,300,29,300,40,300,26,300,57,300,173,300,33,300,98,300,67,300,73,300,56,300,117,300,101,300,39,300,31,300,132,300,49,300,64,300,34,300,34,300,1308,6000,0.218
beta_100,272,300,295,300,295,300,300,300,274,300,136,300,299,300,221,300,260,300,258,300,274,300,216,300,216,300,299,300,300,300,185,300,289,300,263,300,300,300,300,300,5252,6000,0.875333
gamma_100,272,300,295,300,295,300,300,300,274,300,136,300,299,300,221,300,260,300,258,300,274,300,216,300,216,300,299,300,300,300,185,300,289,300,263,300,300,300,300,300,5252,6000,0.875333
alpha_beta_gamma_extreme_neg_execute,272,300,295,300,295,300,300,300,274,300,136,300,299,300,221,300,260,300,258,300,274,300,216,300,216,300,299,300,300,300,185,300,289,300,263,300,300,300,300,300,5252,6000,0.875333
best_task_cost_off,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,6000,0.0
stress_guard_disabled,272,300,295,300,295,300,300,300,274,300,136,300,299,300,221,300,260,300,258,300,274,300,216,300,216,300,299,300,300,300,185,300,289,300,263,300,300,300,300,300,5252,6000,0.875333
stress_guard_disabled_plus_alpha_0,272,300,295,300,295,300,300,300,274,300,136,300,299,300,221,300,260,300,258,300,274,300,216,300,216,300,299,300,300,300,185,300,289,300,263,300,300,300,300,300,5252,6000,0.875333
urgency_weight_off,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,6000,0.0
stress_guard_price_1_1,44,300,32,300,33,300,0,300,72,300,183,300,50,300,110,300,81,300,88,300,68,300,93,300,86,300,0,300,0,300,149,300,60,300,79,300,0,300,0,300,1228,6000,0.204667
stress_guard_failure_2,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,6000,0.0
no_executable_off,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,6000,0.0
scale_up_cheaper,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,300,0,6000,0.0
pause_disabled,44,300,32,300,33,300,0,300,81,300,183,300,50,300,110,300,81,300,88,300,68,300,106,300,86,300,20,300,0,300,149,300,56,300,79,300,0,300,0,300,1266,6000,0.211
alpha_only_with_guard_off,44,300,32,300,33,300,0,300,65,300,183,300,50,300,110,300,81,300,88,300,68,300,93,300,86,300,0,300,0,300,149,300,81,300,79,300,0,300,0,300,1242,6000,0.207
