variant,alpha,beta,gamma,seed,description,steps_executed,completed_jobs,failed_jobs,completion_rate,value_weighted_completion_rate,total_compute_cost,forced_execute_steps,action_count_Execute_Ready_Job,action_count_Defer_Job,action_count_Scale_Up,action_count_Scale_Down,action_count_Reprioritize_Queue,action_count_Pause_LowPriority_Job
reference_phase1,1.0,0.1,1.0,100,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,56,17,0.56,0.6600978706520301,587.674,0,249,0,23,0,0,28
reference_phase1,1.0,0.1,1.0,101,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,57,21,0.57,0.631960623461854,755.75,0,274,0,21,0,0,5
reference_phase1,1.0,0.1,1.0,102,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,58,18,0.58,0.6250197991573478,579.454,0,263,0,32,0,0,5
reference_phase1,1.0,0.1,1.0,103,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,68,16,0.68,0.7221839713577527,396.792,0,278,0,22,0,0,0
reference_phase1,1.0,0.1,1.0,104,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,59,10,0.59,0.6719961704164671,721.95,0,246,0,28,0,0,26
reference_phase1,1.0,0.1,1.0,105,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,29,8,0.29,0.3519968157091681,415.088,0,128,0,8,0,0,164
reference_phase1,1.0,0.1,1.0,106,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,63,11,0.63,0.7218628313026002,524.688,0,270,0,29,0,0,1
reference_phase1,1.0,0.1,1.0,107,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,48,8,0.48,0.5821107094762208,531.738,0,203,0,18,0,0,79
reference_phase1,1.0,0.1,1.0,108,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,58,9,0.58,0.6234393100785173,714.438,0,237,0,23,0,0,40
reference_phase1,1.0,0.1,1.0,109,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,48,20,0.48,0.566701717490361,629.366,0,227,0,31,0,0,42
reference_phase1,1.0,0.1,1.0,110,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,56,15,0.56,0.6661017523641664,769.63,0,249,0,25,0,0,26
reference_phase1,1.0,0.1,1.0,111,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,45,9,0.45,0.5333382833382833,587.258,0,187,0,29,0,0,84
reference_phase1,1.0,0.1,1.0,112,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,46,11,0.46,0.5462513130252101,441.846,0,199,0,17,0,0,84
reference_phase1,1.0,0.1,1.0,113,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,61,18,0.61,0.6544182273003853,324.922,0,264,0,35,0,0,1
reference_phase1,1.0,0.1,1.0,114,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,64,15,0.64,0.6850971780669266,429.658,0,275,0,25,0,0,0
reference_phase1,1.0,0.1,1.0,115,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,38,10,0.38,0.4947068124011824,558.382,0,169,0,16,0,0,115
reference_phase1,1.0,0.1,1.0,116,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,58,15,0.58,0.6475274528098758,717.018,0,259,0,30,0,0,11
reference_phase1,1.0,0.1,1.0,117,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,56,13,0.56,0.6579441954604597,368.954,0,238,0,25,0,0,37
reference_phase1,1.0,0.1,1.0,118,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,58,22,0.58,0.6376899287347048,413.83,0,268,0,32,0,0,0
reference_phase1,1.0,0.1,1.0,119,"Phase-1 default: (alpha, beta, gamma) = (1.0, 0.1, 1.0).",300,57,22,0.57,0.614982690088473,503.294,0,269,0,31,0,0,0
midterm_weights,1.0,0.4,0.8,100,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,56,17,0.56,0.6600978706520301,587.674,0,249,0,23,0,0,28
midterm_weights,1.0,0.4,0.8,101,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,57,21,0.57,0.631960623461854,755.75,0,274,0,21,0,0,5
midterm_weights,1.0,0.4,0.8,102,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,58,18,0.58,0.6250197991573478,579.454,0,263,0,32,0,0,5
midterm_weights,1.0,0.4,0.8,103,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,68,16,0.68,0.7221839713577527,396.792,0,278,0,22,0,0,0
midterm_weights,1.0,0.4,0.8,104,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,59,10,0.59,0.6719961704164671,721.95,0,246,0,28,0,0,26
midterm_weights,1.0,0.4,0.8,105,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,29,8,0.29,0.3519968157091681,415.088,0,128,0,8,0,0,164
midterm_weights,1.0,0.4,0.8,106,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,63,11,0.63,0.7218628313026002,524.688,0,270,0,29,0,0,1
midterm_weights,1.0,0.4,0.8,107,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,48,8,0.48,0.5821107094762208,531.738,0,203,0,18,0,0,79
midterm_weights,1.0,0.4,0.8,108,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,58,9,0.58,0.6234393100785173,714.438,0,237,0,23,0,0,40
midterm_weights,1.0,0.4,0.8,109,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,48,20,0.48,0.566701717490361,629.366,0,227,0,31,0,0,42
midterm_weights,1.0,0.4,0.8,110,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,56,15,0.56,0.6661017523641664,769.63,0,249,0,25,0,0,26
midterm_weights,1.0,0.4,0.8,111,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,45,9,0.45,0.5333382833382833,587.258,0,187,0,29,0,0,84
midterm_weights,1.0,0.4,0.8,112,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,46,11,0.46,0.5462513130252101,441.846,0,199,0,17,0,0,84
midterm_weights,1.0,0.4,0.8,113,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,61,18,0.61,0.6544182273003853,324.922,0,264,0,35,0,0,1
midterm_weights,1.0,0.4,0.8,114,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,64,15,0.64,0.6850971780669266,429.658,0,275,0,25,0,0,0
midterm_weights,1.0,0.4,0.8,115,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,38,10,0.38,0.4947068124011824,558.382,0,169,0,16,0,0,115
midterm_weights,1.0,0.4,0.8,116,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,58,15,0.58,0.6475274528098758,717.018,0,259,0,30,0,0,11
midterm_weights,1.0,0.4,0.8,117,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,56,13,0.56,0.6579441954604597,368.954,0,238,0,25,0,0,37
midterm_weights,1.0,0.4,0.8,118,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,58,22,0.58,0.6376899287347048,413.83,0,268,0,32,0,0,0
midterm_weights,1.0,0.4,0.8,119,"Midterm weights (1.0, 0.4, 0.8) — same equivalence class as reference?",300,57,22,0.57,0.614982690088473,503.294,0,269,0,31,0,0,0
alpha_0,0.0,0.1,1.0,100,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,101,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,102,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,103,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,104,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,105,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,106,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,107,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,108,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,109,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,110,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,111,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,112,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,113,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,114,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,115,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,116,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,117,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,118,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
alpha_0,0.0,0.1,1.0,119,Zero out alpha only.,300,0,0,0.0,0.0,0.0,0,0,0,0,0,0,300
beta_0,1.0,0.0,1.0,100,Zero out beta only.,300,56,17,0.56,0.6600978706520301,587.674,0,249,0,23,0,0,28
