seed,step,adv_Defer_Job,adv_Scale_Up,adv_Scale_Down,adv_Reprioritize_Queue,adv_Pause_LowPriority_Job
200,0,-11.3422,-11.3422,-4.912,0.4607,1.6991
200,20,-4.9338,-4.9338,-15.1023,-8.1457,-8.3827
200,40,-2.6266,-2.6266,-10.57,-0.5123,-5.5468
200,60,3.6369,3.6369,-7.4844,-3.8955,2.4072
200,80,6.0695,6.0695,-0.6762,12.735,5.8869
200,100,-1.5151,-1.5151,-10.6251,1.6453,-4.7492
200,120,-10.9784,-10.9784,-18.1185,-11.5726,-8.6014
200,140,-3.6798,-3.6798,-0.7164,4.4901,-2.2778
200,160,-0.6143,-0.6143,-6.2225,0.594,0.2937
200,180,-1.6117,-1.6117,-0.3602,-1.8705,-1.3358
200,200,-1.265,-0.671,-6.4038,-3.6825,-1.9826
200,220,-3.2947,-3.2947,-1.9165,-0.0287,-0.8402
200,240,0.4208,0.4208,-2.7525,0.5041,0.0761
200,260,-2.5552,-2.5552,-2.9168,-2.8653,-2.5224
200,280,-2.3194,-2.3194,-2.2233,-0.408,-2.2916
201,0,-6.7977,-6.7977,-18.1764,-0.8902,-3.8637
201,20,-0.9383,-0.9383,-9.9619,4.8742,-2.8401
201,40,-1.3958,-1.3958,-14.8507,7.9703,-1.2559
201,60,4.7287,4.7287,-6.6822,-1.1898,7.0078
201,80,-0.7198,-0.7198,-19.7827,-6.8826,1.1031
201,100,-0.9493,-0.9493,-6.9091,-0.2686,-3.7127
201,120,0.3805,0.3805,-7.8484,4.3534,0.3349
201,140,0.0,0.0,-11.6649,2.0943,-1.0524
201,160,6.0875,6.0875,-3.7945,0.8513,3.3379
201,180,-1.2605,-1.2605,-4.5159,-1.9641,-2.7214
201,200,-1.9405,-1.9405,-2.6662,-0.9767,0.0375
201,220,-0.3551,-0.3551,-1.6732,-1.9185,-1.4846
201,240,-1.7998,-1.7998,-3.6296,-0.7348,-0.3437
201,260,0.0,0.0,-2.6878,-0.662,0.4408
201,280,-1.8656,-1.8656,-2.6615,-1.2873,-0.3633
202,0,-3.2067,-3.2067,-14.5426,-4.0691,-9.2846
202,20,-2.0206,-2.0206,-11.1724,2.6102,0.3137
202,40,-2.3955,-2.3955,-14.8478,0.9224,-3.1328
202,60,1.1333,1.1333,1.1062,3.9893,2.9248
202,80,0.0049,0.0049,-13.3438,-8.0764,-3.0011
202,100,1.6364,1.6364,-9.4423,1.1176,10.0516
202,120,2.1261,2.1261,-12.5513,1.5153,-5.7084
202,140,-8.492,-8.492,-8.7163,2.1761,-6.1995
202,160,0.9727,0.9727,-0.8006,1.2704,2.2759
202,180,-4.0808,-4.0808,-6.9013,0.2848,-3.961
202,200,1.5776,1.5776,-1.0295,0.9227,0.4369
202,220,0.0,0.0,-1.1029,-1.2006,-0.3846
202,240,-0.7029,-0.7029,-1.3691,1.4058,0.1332
202,260,-0.6098,-0.6098,-1.2272,-0.7253,-0.812
202,280,-1.4869,-1.4869,-1.3602,-1.2385,-1.4198
203,0,-2.8916,-2.8916,-12.7702,-8.0056,-4.8173
203,20,-7.1482,-7.1482,-7.3898,1.9029,-8.5394
203,40,1.8732,1.8732,-8.5297,-3.2454,-6.1083
203,60,-9.6045,-9.6045,-12.8482,-6.4049,-12.2156
203,80,-2.206,-2.206,-11.376,-4.0281,-7.0691
203,100,-1.9997,-1.9997,-12.0018,0.3513,-8.2224
203,120,-3.527,-3.527,-7.632,0.5517,-4.3504
203,140,0.4255,0.4255,-6.7068,3.2453,-4.6335
203,160,-2.221,-2.221,-8.6816,-2.5952,-6.6071
203,180,1.9107,1.9107,-2.53,0.3789,-2.8053
203,200,-1.4074,-1.4074,-6.8795,-3.109,-6.5707
203,220,3.6506,3.6506,3.6486,4.0362,-1.0299
203,240,-2.2,-2.2,-1.1367,-0.0806,-5.5794
203,260,-0.7344,-0.7344,-0.7147,-0.3495,-4.9783
203,280,0.2509,0.2509,-0.0063,1.5414,-1.3257
204,0,-4.7502,-4.7502,-19.1448,-3.4065,-14.6806
204,20,-2.3621,-2.3621,-14.7431,0.7148,-3.3448
204,40,0.2858,0.2858,-12.7082,3.1562,5.0851
204,60,-4.7397,-4.7397,-15.0488,-2.5806,-9.3287
204,80,-4.5969,-4.5969,-10.5057,-5.0058,-8.3316
204,100,-0.7564,-0.7564,-15.2413,-5.1855,-4.988
204,120,1.3544,1.3544,-10.0087,-0.8429,-4.9834
204,140,2.544,2.544,-7.6576,-0.3353,-2.9004
204,160,-1.742,-1.742,-6.8674,-1.616,-2.113
204,180,-1.7135,-1.8209,-5.0961,0.1244,-1.547
204,200,0.7735,0.7735,-1.1223,-1.7434,-1.9523
204,220,-0.2699,-0.2699,-6.2392,-0.6371,-3.6596
204,240,-0.983,-0.983,-6.7972,-3.3268,-4.6314
204,260,0.0039,0.0039,-3.107,-0.3967,-0.6574
204,280,-1.9288,-1.9288,-3.2025,-3.1773,-2.6804
