seed,rl_util,reflex_util,diff
1000,151.2,151.2,0.0
1001,112.412,117.614,-5.202
1002,111.93,111.93,0.0
1003,74.1414,74.1414,0.0
1004,151.1438,167.8734,-16.7296
1005,117.5208,134.3686,-16.8478
1006,108.4434,112.0762,-3.6328
1007,131.1046,134.0652,-2.9606
1008,108.117,105.7318,2.3852
1009,150.5876,150.167,0.4206
1010,165.6174,167.0232,-1.4058
1011,156.2896,156.7914,-0.5018
1012,134.56,134.56,0.0
1013,181.6708,178.3798,3.291
1014,94.1028,94.1028,0.0
1015,108.4418,121.011,-12.5692
1016,82.368,80.0824,2.2856
1017,128.997,128.997,0.0
1018,104.0576,108.0436,-3.986
1019,148.103,116.4188,31.6842
1020,85.5216,140.915,-55.3934
1021,112.1994,100.9536,11.2458
1022,150.1082,154.7552,-4.647
1023,100.3238,121.8366,-21.5128
1024,139.2762,142.5574,-3.2812
1025,127.0452,127.0452,0.0
1026,131.8846,131.5502,0.3344
1027,120.8944,120.8944,0.0
1028,124.2344,121.969,2.2654
1029,67.2624,67.2624,0.0
1030,59.187,59.187,0.0
1031,116.3098,100.0514,16.2584
1032,102.3244,106.9074,-4.583
1033,108.392,108.392,0.0
1034,155.4,153.5522,1.8478
1035,164.7714,155.4356,9.3358
1036,177.211,169.2386,7.9724
1037,159.905,152.8772,7.0278
1038,149.7658,149.7658,0.0
1039,166.9048,140.5876,26.3172
1040,58.8664,60.4544,-1.588
1041,140.4904,115.713,24.7774
1042,156.778,165.4318,-8.6538
1043,108.2244,108.2244,0.0
1044,137.7204,139.6346,-1.9142
1045,124.7708,114.6244,10.1464
1046,182.1372,182.1372,0.0
1047,171.2746,179.591,-8.3164
1048,77.193,76.5508,0.6422
1049,150.9442,103.3522,47.592
1050,120.3268,120.3268,0.0
1051,118.672,159.1806,-40.5086
1052,76.5498,76.5498,0.0
1053,140.2044,137.8572,2.3472
1054,98.3284,101.866,-3.5376
1055,115.7562,106.0668,9.6894
1056,142.934,154.3316,-11.3976
1057,112.1224,111.618,0.5044
1058,139.099,144.7276,-5.6286
1059,128.6916,165.6334,-36.9418
1060,156.3532,158.157,-1.8038
1061,131.3194,143.0418,-11.7224
1062,124.5622,137.19,-12.6278
1063,100.1498,105.9456,-5.7958
1064,103.8324,148.9842,-45.1518
1065,129.2604,151.1616,-21.9012
1066,105.5816,106.9778,-1.3962
1067,121.9586,125.937,-3.9784
1068,134.4544,127.8846,6.5698
1069,109.9252,109.9252,0.0
1070,144.7226,144.7226,0.0
1071,108.8404,122.604,-13.7636
1072,93.7078,96.514,-2.8062
1073,92.0778,92.0778,0.0
1074,158.825,146.5176,12.3074
1075,69.5316,69.5316,0.0
1076,115.8392,115.8392,0.0
1077,102.2398,105.7678,-3.528
1078,174.3872,163.211,11.1762
1079,193.5462,193.5462,0.0
1080,137.126,144.8304,-7.7044
1081,130.4852,115.7976,14.6876
1082,74.7132,74.7132,0.0
1083,162.3194,171.406,-9.0866
1084,140.61,167.537,-26.927
1085,165.8022,150.7906,15.0116
1086,110.8346,134.6124,-23.7778
1087,165.4766,162.8106,2.666
1088,151.638,148.1364,3.5016
1089,156.7554,135.4266,21.3288
1090,125.7926,124.7434,1.0492
1091,113.8884,110.8446,3.0438
1092,128.421,125.1002,3.3208
1093,136.9062,145.9716,-9.0654
1094,107.7978,107.7978,0.0
1095,86.218,117.9108,-31.6928
1096,174.0222,192.4118,-18.3896
1097,173.027,173.027,0.0
1098,122.0704,156.8056,-34.7352
1099,142.0256,130.8046,11.221
1100,114.8664,114.8664,0.0
1101,88.2986,88.2986,0.0
1102,91.5692,124.5442,-32.975
1103,107.0008,107.0008,0.0
1104,105.5666,105.5666,0.0
1105,108.7354,112.6752,-3.9398
1106,113.8622,125.4324,-11.5702
1107,92.928,92.928,0.0
1108,153.0884,153.0884,0.0
1109,105.7122,101.8516,3.8606
1110,126.9244,129.0836,-2.1592
1111,166.3214,166.3214,0.0
1112,99.5574,101.2448,-1.6874
1113,149.445,141.1862,8.2588
1114,152.4952,150.36,2.1352
1115,146.9222,146.1698,0.7524
1116,117.257,117.257,0.0
1117,120.1768,120.1768,0.0
1118,165.2074,165.2074,0.0
1119,121.6932,120.5456,1.1476
1120,154.9868,154.8636,0.1232
1121,85.1938,72.5166,12.6772
1122,115.9902,115.9902,0.0
1123,149.2146,145.091,4.1236
1124,160.4168,136.1856,24.2312
1125,119.7256,139.4138,-19.6882
1126,141.3932,150.949,-9.5558
1127,111.9392,111.9392,0.0
1128,134.77,120.9874,13.7826
1129,157.6568,158.7276,-1.0708
1130,124.035,124.035,0.0
1131,185.5654,190.516,-4.9506
1132,108.5726,104.545,4.0276
1133,139.2068,121.9222,17.2846
1134,167.9618,173.2888,-5.327
1135,100.3676,148.0308,-47.6632
1136,126.9916,126.9916,0.0
1137,187.9936,187.9936,0.0
1138,95.3204,110.2562,-14.9358
1139,94.2014,109.4108,-15.2094
1140,70.601,70.601,0.0
1141,103.5162,103.4118,0.1044
1142,139.314,120.1784,19.1356
1143,102.558,103.2214,-0.6634
1144,155.2026,154.7114,0.4912
1145,105.484,130.7596,-25.2756
1146,97.6348,97.6348,0.0
1147,166.5832,166.9128,-0.3296
1148,158.5348,152.169,6.3658
1149,132.15,111.1246,21.0254
1150,150.282,142.6464,7.6356
1151,138.9466,152.1642,-13.2176
1152,120.807,120.807,0.0
1153,150.956,150.956,0.0
1154,126.2922,126.2922,0.0
1155,136.4818,151.421,-14.9392
1156,120.8094,148.813,-28.0036
1157,109.8296,114.2612,-4.4316
1158,166.4168,149.6934,16.7234
1159,103.08,103.08,0.0
1160,131.9532,131.9532,0.0
1161,126.484,81.0238,45.4602
1162,80.9794,97.9148,-16.9354
1163,155.4026,144.6116,10.791
1164,82.6474,73.603,9.0444
1165,107.1326,113.9362,-6.8036
1166,110.5784,124.417,-13.8386
1167,155.583,155.583,0.0
1168,123.9896,161.1824,-37.1928
1169,85.3128,89.5814,-4.2686
1170,145.5406,154.543,-9.0024
1171,120.4448,180.4016,-59.9568
1172,118.0902,135.6714,-17.5812
1173,137.8714,137.8714,0.0
1174,152.7448,152.6488,0.096
1175,111.3868,111.3868,0.0
1176,86.2546,86.2546,0.0
1177,139.24,137.6482,1.5918
1178,127.0164,114.0146,13.0018
1179,107.2326,107.2326,0.0
1180,129.8172,129.8172,0.0
1181,121.0442,121.0442,0.0
1182,91.6522,91.6522,0.0
1183,104.9842,104.9842,0.0
1184,101.9118,96.6964,5.2154
1185,133.7922,137.4114,-3.6192
1186,105.5228,124.3412,-18.8184
1187,144.0562,142.2322,1.824
1188,171.3326,167.8336,3.499
1189,127.6438,127.6438,0.0
1190,73.4864,73.4752,0.0112
1191,141.1272,151.0082,-9.881
1192,114.6336,113.1296,1.504
1193,95.8938,95.8938,0.0
1194,128.8194,128.8194,0.0
1195,129.9786,134.9888,-5.0102
1196,150.2422,154.2768,-4.0346
1197,107.2554,107.6768,-0.4214
1198,126.9602,145.766,-18.8058
1199,160.893,160.869,0.024
1200,84.157,88.4752,-4.3182
1201,103.0762,103.0762,0.0
1202,176.045,166.6674,9.3776
1203,93.4838,143.8696,-50.3858
1204,90.7192,90.7192,0.0
1205,157.1912,157.1912,0.0
1206,83.667,94.035,-10.368
1207,96.5926,133.6002,-37.0076
1208,118.6288,123.5094,-4.8806
1209,78.4514,85.6402,-7.1888
1210,148.5608,171.0144,-22.4536
1211,172.9506,172.9506,0.0
1212,165.8546,115.2596,50.595
1213,112.3862,149.5594,-37.1732
1214,96.7466,96.4104,0.3362
1215,129.54,136.2578,-6.7178
1216,101.4338,101.4338,0.0
1217,139.7146,139.7146,0.0
1218,181.0118,180.4816,0.5302
1219,131.19,144.5486,-13.3586
1220,162.5004,155.265,7.2354
1221,83.707,82.178,1.529
1222,119.2898,141.9148,-22.625
1223,83.7934,83.7934,0.0
1224,116.3188,164.7144,-48.3956
1225,146.9326,140.7082,6.2244
1226,147.8074,147.8074,0.0
1227,54.9134,54.9134,0.0
1228,97.7392,107.3046,-9.5654
1229,137.9064,144.442,-6.5356
1230,153.0796,152.5924,0.4872
1231,83.7672,119.8494,-36.0822
1232,174.9344,162.3246,12.6098
1233,127.9056,136.474,-8.5684
1234,105.7668,99.8494,5.9174
1235,154.3492,159.0638,-4.7146
1236,81.1312,81.1312,0.0
1237,88.8282,142.6208,-53.7926
1238,99.337,105.9658,-6.6288
1239,102.7384,110.242,-7.5036
1240,153.7512,151.8238,1.9274
1241,118.9322,137.347,-18.4148
1242,90.6322,113.6656,-23.0334
1243,134.8438,105.8936,28.9502
1244,108.8148,130.8822,-22.0674
1245,172.8984,167.8528,5.0456
1246,119.6866,91.6642,28.0224
1247,145.8128,145.8128,0.0
1248,154.2372,154.2372,0.0
1249,133.982,133.982,0.0
