iteration,mean_undisc_return,policy_loss,value_loss,entropy,approx_kl,clip_frac,env_steps_cumulative
0,35.4092375,-0.13837909698486328,4.027622222900391,1.7573394775390625,0.015571477822959423,0.1875,4800
1,35.5234125,-0.08387120813131332,5.1573615074157715,1.711370825767517,0.003628404811024666,0.1614583283662796,9600
2,50.45135,0.02474215067923069,5.974510192871094,1.6915591955184937,0.0034457407891750336,0.1354166716337204,14400
3,49.438625,-0.03861613571643829,8.39586353302002,1.6067577600479126,-0.01226012408733368,0.0625,19200
4,61.48309999999999,0.015521851368248463,7.007007122039795,1.571795105934143,0.0036840413231402636,0.140625,24000
5,76.46122499999998,0.035139765590429306,9.03338623046875,1.4865361452102661,0.00674772821366787,0.265625,28800
6,83.5436,0.17934076488018036,14.736305236816406,1.3463462591171265,0.017103472724556923,0.3541666567325592,33600
7,85.97828750000001,-0.0387074314057827,14.645099639892578,1.206868290901184,0.01843629963696003,0.02083333395421505,38400
8,102.8835,0.06492260843515396,20.350419998168945,1.0741543769836426,0.006645858287811279,0.010416666977107525,43200
9,109.71608749999999,-0.00417305389419198,17.695117950439453,0.9609877467155457,0.005122791510075331,0.02604166604578495,48000
10,118.92771250000001,0.04023483768105507,22.83168601989746,0.9155395030975342,0.0002163195313187316,0.010416666977107525,52800
11,109.0845625,-0.08431283384561539,21.674287796020508,0.7810518741607666,0.01327954139560461,0.0833333358168602,57600
12,111.8810875,-0.009992134757339954,35.396663665771484,0.6991068720817566,0.00015889604401309043,0.0052083334885537624,62400
13,116.02557499999999,-0.1253761202096939,22.2761173248291,0.6408918499946594,-0.0039026897866278887,0.0,67200
14,117.3584375,0.046355802565813065,30.483734130859375,0.610584557056427,-0.002028531162068248,0.0,72000
15,122.9806125,0.1115163043141365,28.869857788085938,0.5272831320762634,0.009662573225796223,0.0052083334885537624,76800
16,105.709025,0.06238648667931557,32.87725830078125,0.48603901267051697,0.006293860729783773,0.0,81600
17,119.8094375,0.035227421671152115,36.42940139770508,0.5059139728546143,0.0072190165519714355,0.0,86400
18,135.8684,0.20689761638641357,61.284915924072266,0.505782425403595,0.0012289112200960517,0.0,91200
19,119.4231625,0.011215032078325748,38.206424713134766,0.447312593460083,0.004233519081026316,0.015625,96000
20,116.6841,-0.018815595656633377,43.549861907958984,0.4063088595867157,-0.003856054274365306,0.0,100800
21,114.1415,0.03393341973423958,47.98545455932617,0.4278252422809601,-0.002061508595943451,0.015625,105600
22,118.2999375,-0.06147940829396248,36.04562759399414,0.4306659400463104,0.00306503102183342,0.010416666977107525,110400
23,112.892575,0.015464738011360168,40.443180084228516,0.43224790692329407,-0.001295240013860166,0.0,115200
24,124.489375,0.08380818367004395,43.23008346557617,0.4143233299255371,0.0017384713282808661,0.0,120000
25,120.91969999999999,0.033762674778699875,40.37510299682617,0.4104425013065338,0.006173523608595133,0.02604166604578495,124800
26,110.12635,-0.012117590755224228,47.347442626953125,0.3500095307826996,-0.0030206069350242615,0.0052083334885537624,129600
27,111.24302499999999,-0.005244249012321234,36.23862838745117,0.3645001947879791,0.0037465665955096483,0.0052083334885537624,134400
28,124.08843749999998,0.07025611400604248,54.49139404296875,0.3629239499568939,0.0007927405531518161,0.0,139200
29,107.51063749999999,-0.0027061626315116882,45.48002624511719,0.3837480843067169,0.003212706418707967,0.0,144000
30,111.06616249999999,0.047668103128671646,42.072998046875,0.3644978106021881,0.0016811663517728448,0.0,148800
31,118.89781249999999,-0.13985146582126617,37.98444747924805,0.4069022834300995,0.0005551290814764798,0.010416666977107525,153600
32,117.381075,-0.0459585003554821,45.367156982421875,0.3331391513347626,0.004625158850103617,0.0416666679084301,158400
33,120.8949125,0.16939423978328705,46.61674880981445,0.33816227316856384,-0.0006177810137160122,0.0,163200
34,122.082725,0.06441197544336319,45.035247802734375,0.36907878518104553,-0.0001679311244515702,0.0052083334885537624,168000
35,119.93187499999999,0.023485666140913963,51.911624908447266,0.3236093521118164,0.008142352104187012,0.010416666977107525,172800
36,113.841075,0.0893956646323204,47.97119140625,0.3137928247451782,0.002241760492324829,0.015625,177600
37,113.8542625,-0.09254878014326096,44.667266845703125,0.3302898108959198,0.000794844061601907,0.0,182400
38,123.57865000000001,0.042763471603393555,37.178382873535156,0.34901246428489685,-0.0027318745851516724,0.02083333395421505,187200
39,115.6282375,-0.09872376173734665,38.3397102355957,0.3301747143268585,0.0012765005230903625,0.0,192000
40,117.74954999999999,0.24174034595489502,57.574371337890625,0.31196147203445435,0.0005462256376631558,0.0052083334885537624,196800
41,122.2750375,0.055271487683057785,46.13304138183594,0.30379894375801086,-0.0015826100716367364,0.0,201600
42,121.94218749999999,0.03938404843211174,41.48965835571289,0.27651891112327576,0.0031599204521626234,0.03125,206400
43,125.34381249999998,-0.10178983956575394,36.363765716552734,0.3086617588996887,0.0010192530462518334,0.015625,211200
44,110.16688749999999,-0.08790949732065201,34.24514389038086,0.3598499000072479,0.0037306994199752808,0.0052083334885537624,216000
45,135.87548750000002,-0.0993117019534111,36.75496292114258,0.33365893363952637,0.0029510632157325745,0.03125,220800
