update,stage,num_jobs,max_steps,batch_arrival_seed,mean_undiscounted_return,mean_discounted_return,policy_loss,entropy,total_loss,grad_norm,env_steps_this_update,env_steps_cumulative
0,0,100,300,961,27.25725,8.417741627600964,-0.009265675209462643,1.7812374830245972,-0.0270780511200428,0.2609555125236511,3515,3515
1,0,100,300,778,36.867212499999994,6.994290005628942,-0.011045385152101517,1.780259370803833,-0.02884797938168049,0.2383468598127365,4998,8513
2,0,100,300,704,26.735037500000004,6.073288523264659,-0.001713377539999783,1.7783982753753662,-0.019497361034154892,0.19369494915008545,3779,12292
3,0,100,300,883,27.91305,6.426648192579797,-0.027664024382829666,1.7776316404342651,-0.04544033855199814,0.3171229958534241,4091,16383
4,0,100,300,338,28.9641375,9.361990107243678,-0.004403447732329369,1.7761622667312622,-0.022165069356560707,0.21304632723331451,3806,20189
5,0,100,300,499,21.293925,5.704330027157662,-0.04330546408891678,1.7752798795700073,-0.06105826050043106,0.3277321457862854,3170,23359
6,0,100,300,938,69.72478749999999,13.874137882633246,-0.023366766050457954,1.7730309963226318,-0.04109707474708557,0.2829820215702057,7136,30495
7,0,100,300,649,46.7977,8.843847291722362,-0.0020617013797163963,1.7710375785827637,-0.01977207511663437,0.1770990937948227,6260,36755
8,0,100,300,392,47.849075,8.399760930057719,0.006140148267149925,1.7694112062454224,-0.011553963646292686,0.21721407771110535,5305,42060
9,0,100,300,383,40.1192375,9.253754775896384,-0.023464489728212357,1.7675594091415405,-0.041140083223581314,0.21188977360725403,5224,47284
10,0,100,300,871,50.59836249999999,13.455155538613685,-0.034459665417671204,1.7646849155426025,-0.05210651457309723,0.221017986536026,5089,52373
11,0,100,300,539,62.758174999999994,9.957661813585563,-0.0075872549787163734,1.7633230686187744,-0.025220483541488647,0.34174758195877075,6990,59363
12,0,100,300,803,37.8699,8.727897574586006,-0.034684326499700546,1.7632232904434204,-0.052316561341285706,0.4472314119338989,3884,63247
13,0,100,300,993,39.36455,8.75822290587683,-0.05176211893558502,1.7586984634399414,-0.06934910267591476,0.4995587468147278,3530,66777
14,0,100,300,634,46.5344875,12.42872786047603,-0.03479740768671036,1.7569884061813354,-0.05236729234457016,0.3450812101364136,4341,71118
15,0,100,300,707,46.6243375,11.049691605837102,-0.08866437524557114,1.7563998699188232,-0.10622837394475937,0.5556964874267578,3800,74918
