update,stage,num_jobs,max_steps,batch_arrival_seed,mean_undiscounted_return,mean_discounted_return,policy_loss,entropy,total_loss,grad_norm,env_steps_this_update,env_steps_cumulative
0,0,100,300,961,25.394750000000002,7.726885554334801,-0.012050267308950424,1.7812374830245972,-0.029862642288208008,0.24202194809913635,3515,3515
1,0,100,300,778,33.804712499999994,6.312333819057149,-0.01976962573826313,1.7801780700683594,-0.03757140785455704,0.26709288358688354,4998,8513
2,0,100,300,704,25.3894125,5.557025125274484,-0.008929609321057796,1.7780873775482178,-0.02671048417687416,0.09040949493646622,3779,12292
3,0,100,300,883,27.1709125,5.771268474880438,-0.02544155903160572,1.7765737771987915,-0.04320729523897171,0.2695315182209015,4091,16383
4,0,100,300,338,26.250699999999995,8.58124694533877,-0.0034122758079320192,1.7738951444625854,-0.021151227876544,0.24766287207603455,3806,20189
5,0,100,300,499,19.0853875,3.947860762681561,-0.058135658502578735,1.7731268405914307,-0.07586692273616791,0.43931612372398376,3170,23359
6,0,100,300,938,67.375125,13.262599110594575,-0.025360021740198135,1.7702239751815796,-0.04306226223707199,0.31543511152267456,7136,30495
7,0,100,300,649,43.58871250000001,8.139479980353576,-0.015639040619134903,1.7678866386413574,-0.03331790864467621,0.17654366791248322,6260,36755
8,0,100,300,392,45.276687499999994,7.168252179483175,0.015182923525571823,1.7656739950180054,-0.0024738162755966187,0.3056887686252594,5305,42060
9,0,100,300,383,34.592275,7.816630926344117,-0.03607509657740593,1.7628686428070068,-0.05370378494262695,0.2647802531719208,5224,47284
10,0,100,300,871,46.2089375,12.725880957920646,-0.017658889293670654,1.7599847316741943,-0.035258736461400986,0.27848103642463684,5089,52373
11,0,100,300,539,61.386025,8.209859328095371,-0.0015513058751821518,1.7592982053756714,-0.019144287332892418,0.2860358953475952,6990,59363
12,0,100,300,803,32.920812500000004,7.593444104990621,-0.030509594827890396,1.7581640481948853,-0.048091232776641846,0.4789450168609619,3884,63247
13,0,100,300,993,39.302,8.571434283650643,-0.0691424235701561,1.7544420957565308,-0.08668684214353561,0.6428046226501465,3530,66777
14,0,100,300,634,45.572174999999994,12.018317083696406,-0.041245874017477036,1.752558946609497,-0.05877146124839783,0.4345214068889618,4341,71118
