seed,U_metric,reward_sum,gap,pred_gap,failed_jobs,final_norm_recent_failures,completed_value,compute_cost,sum_dvalue,sum_step_cost,sum_drisk,value_telescopes,cost_telescopes,risk_telescopes_to_counter,alpha,beta,gamma
200,122.9256,145.9256,23.0,23.0,23,0.0,175.74,298.144,175.74,298.144,0.0,True,True,True,1.0,0.1,1.0
201,116.2358,128.2358,12.0,12.0,12,0.0,230.12,1018.842,230.12,1018.842,0.0,True,True,True,1.0,0.1,1.0
202,95.8432,106.8432,11.0,11.0,11,0.0,227.91,1210.668,227.91,1210.668,0.0,True,True,True,1.0,0.1,1.0
203,135.0652,151.0652,16.0,16.0,16,0.0,217.3,662.348,217.3,662.348,0.0,True,True,True,1.0,0.1,1.0
204,124.5948,140.5948,16.0,16.0,16,0.0,214.64,740.452,214.64,740.452,0.0,True,True,True,1.0,0.1,1.0
205,61.5902,84.5902,23.0,23.0,23,0.0,155.85,712.598,155.85,712.598,0.0,True,True,True,1.0,0.1,1.0
206,106.6018,121.6018,15.0,15.0,15,0.0,204.27,826.682,204.27,826.682,0.0,True,True,True,1.0,0.1,1.0
207,126.1142,138.9142,12.8,12.8,13,0.2,207.75,686.358,207.75,686.358,0.2,True,True,True,1.0,0.1,1.0
208,64.5178,74.5178,10.0,10.0,10,0.0,189.83,1153.122,189.83,1153.122,0.0,True,True,True,1.0,0.1,1.0
209,122.3334,141.3334,19.0,19.0,19,0.0,197.47,561.366,197.47,561.366,0.0,True,True,True,1.0,0.1,1.0
