update,stage,num_jobs,max_steps,batch_arrival_seed,mean_undiscounted_return,mean_discounted_return,policy_loss,entropy,total_loss,grad_norm,env_steps_this_update,env_steps_cumulative
0,0,20,120,961,4.763437499999999,2.329286443604067,0.018951982259750366,1.7815475463867188,0.0011365078389644623,0.22268883883953094,1400,1400
1,0,20,120,778,9.8495625,4.548698272260937,-0.004155571106821299,1.7826831340789795,-0.021982401609420776,0.29473304748535156,1997,3397
2,0,20,120,704,5.921149999999999,2.8586296774797817,-0.035189419984817505,1.783233404159546,-0.05302175134420395,0.3866128623485565,1507,4904
3,0,20,120,883,5.7038,3.5863142904221874,-0.0038365351501852274,1.7826921939849854,-0.02166345715522766,0.1700635701417923,1540,6444
4,0,20,120,338,7.318725,5.045347195550384,-0.010047641582787037,1.7825379371643066,-0.027873020619153976,0.18235091865062714,1518,7962
5,0,20,120,499,6.241225,3.5654690875581707,-0.005313341971486807,1.781589150428772,-0.023129234090447426,0.2087126076221466,1264,9226
6,0,20,120,938,19.4713875,8.590834752590418,-0.009689426980912685,1.781120777130127,-0.027500633150339127,0.19079743325710297,2850,12076
7,0,20,120,649,3.9870749999999986,1.4596668675121705,-0.010645044036209583,1.7804383039474487,-0.02844942733645439,0.16034241020679474,2500,14576
8,0,20,120,392,7.3074,3.430083862303772,-0.0010681296698749065,1.7804638147354126,-0.018872767686843872,0.28876516222953796,2119,16695
9,0,20,120,383,6.700187499999999,3.1333247496363716,-0.004364629741758108,1.7795504331588745,-0.022160133346915245,0.12872278690338135,2081,18776
10,0,20,120,871,13.5305,7.010730961654527,-0.02342342771589756,1.7777024507522583,-0.04120045155286789,0.4917830228805542,2032,20808
11,0,20,120,539,11.387362499999998,6.9782239913192665,-0.01570436917245388,1.77715265750885,-0.03347589448094368,0.17561201751232147,2793,23601
12,0,20,120,803,3.9217374999999994,2.2371867768738847,-0.0175714623183012,1.777466893196106,-0.0353461317718029,0.22423064708709717,1548,25149
13,0,20,120,993,4.1436875,2.7838734872025936,-0.01340608298778534,1.7759476900100708,-0.031165558844804764,0.1642218977212906,1406,26555
14,0,20,120,634,6.867962499999999,3.9575896578099248,-0.044828470796346664,1.7744715213775635,-0.06257318705320358,0.28306877613067627,1732,28287
15,0,20,120,707,7.5752875,3.4921514336543096,-0.049747779965400696,1.771771788597107,-0.06746549904346466,0.46018680930137634,1516,29803
16,0,20,120,656,5.449950000000001,3.571480724343564,-0.0012382586719468236,1.7703505754470825,-0.018941763788461685,0.1859576553106308,1641,31444
17,0,20,120,865,10.289824999999999,5.446513008738799,-0.026164690032601357,1.7714896202087402,-0.04387958347797394,0.2229493111371994,1964,33408
18,0,20,120,790,14.142824999999998,7.52179411141298,-0.015232247300446033,1.770380973815918,-0.03293605521321297,0.24053552746772766,2226,35634
19,0,20,120,538,4.584025,2.070177336346722,-0.020600659772753716,1.7671234607696533,-0.03827189654111862,0.1362554281949997,1932,37566
20,0,20,120,626,6.957762499999999,4.901368913196453,-0.05022820085287094,1.7655740976333618,-0.0678839385509491,0.45641759037971497,1300,38866
21,0,20,120,891,6.9251625,4.455470299045378,-0.018938928842544556,1.7596747875213623,-0.03653567656874657,0.16795802116394043,1740,40606
22,0,20,120,900,10.622724999999999,6.325556460338056,-0.02018885128200054,1.764501690864563,-0.03783386945724487,0.16317503154277802,1937,42543
23,0,20,120,380,6.2448250000000005,3.4745961134944614,-0.018071593716740608,1.7562425136566162,-0.03563401848077774,0.18045811355113983,1797,44340
24,0,20,120,611,13.3596875,6.7790233601677805,-0.017101500183343887,1.7605787515640259,-0.03470728546380997,0.16312244534492493,1906,46246
25,0,20,120,399,7.8126750000000005,4.586444728715079,-0.01633123680949211,1.7588602304458618,-0.033919841051101685,0.16648811101913452,2105,48351
26,0,20,120,979,6.284924999999999,4.522145172282441,-0.002597570652142167,1.75357985496521,-0.0201333686709404,0.17607098817825317,1698,50049
27,0,20,120,865,12.5829375,7.1970416495728715,-0.011790231801569462,1.756331205368042,-0.029353544116020203,0.2856947183609009,2372,52421
28,0,20,120,876,6.819187499999999,4.574579707832909,-0.023996176198124886,1.7508357763290405,-0.04150453209877014,0.21057459712028503,1503,53924
29,0,20,120,608,9.017274999999998,5.4375288337637215,0.012327069416642189,1.749833106994629,-0.005171261727809906,0.2245407998561859,1682,55606
30,0,20,120,486,6.352324999999999,2.7235414227420573,-0.0078671770170331,1.7446273565292358,-0.025313451886177063,0.07119009643793106,1584,57190
31,0,20,120,565,12.5165375,7.386817003070611,0.009341522119939327,1.7432315349578857,-0.008090793155133724,0.20062845945358276,1432,58622
32,0,20,120,995,7.67155,3.9942083958743178,-0.004518608562648296,1.7422279119491577,-0.021940886974334717,0.27714771032333374,1931,60553
33,0,20,120,368,13.695987500000001,6.704094687669283,-0.05663087218999863,1.745729684829712,-0.07408817112445831,0.3607042729854584,2178,62731
34,0,20,120,978,8.5445,5.209287314444007,-0.09790294617414474,1.7407820224761963,-0.11531076580286026,0.38799968361854553,1801,64532
35,0,20,120,917,9.8563125,6.348536220643594,-0.027570167556405067,1.734039068222046,-0.04491055756807327,0.3191434442996979,1529,66061
36,0,20,120,804,5.125324999999998,2.584646487057755,-0.04273143410682678,1.734544277191162,-0.06007687747478485,0.20454075932502747,2343,68404
37,0,20,120,642,12.906975,8.533926467611153,-0.07571087777614594,1.7245808839797974,-0.09295668452978134,0.3209978938102722,1557,69961
38,0,20,120,732,10.9428875,7.180926385745095,-0.06631266325712204,1.7353285551071167,-0.08366595208644867,0.33430227637290955,1999,71960
39,0,20,120,764,5.068375,3.2263885830157806,-0.033153239637613297,1.727052927017212,-0.050423771142959595,0.20901377499103546,1341,73301
40,0,20,120,673,5.2767,2.8306193392342385,-0.006423840299248695,1.7166110277175903,-0.023589950054883957,0.19303762912750244,1251,74552
41,0,20,120,975,14.595225,6.188274186583844,-0.009013901464641094,1.7243281602859497,-0.026257183402776718,0.2808699309825897,2125,76677
42,0,20,120,430,8.516824999999999,5.757599310774439,-0.004819316789507866,1.7093939781188965,-0.021913256496191025,0.1753680557012558,1538,78215
43,0,20,120,957,7.258962499999999,3.570685137386865,-0.04897242784500122,1.7183724641799927,-0.06615614891052246,0.23336824774742126,1882,80097
44,0,20,120,795,5.4623625,2.9534133881034514,-0.1290867179632187,1.7105605602264404,-0.14619232714176178,0.4888624846935272,1020,81117
45,0,20,120,329,9.241475,5.774433710405402,-0.03886254504323006,1.7201460599899292,-0.05606400594115257,0.20271052420139313,1880,82997
46,0,20,120,631,10.8597,7.262057231067516,-0.0180840864777565,1.7056633234024048,-0.03514071926474571,0.16646476089954376,1954,84951
47,0,20,120,471,13.008975,8.486490797190243,0.017651362344622612,1.7017288208007812,0.0006340742111206055,0.054754700511693954,2256,87207
48,0,20,120,808,12.168524999999999,7.747865507135993,-0.04967711865901947,1.6984164714813232,-0.0666612833738327,0.3184990882873535,2420,89627
49,0,20,120,729,11.8492125,7.936851021606966,0.009688302874565125,1.6799015998840332,-0.0071107130497694016,0.24239793419837952,1514,91141
50,0,20,120,780,19.0288125,12.098828554024122,-0.06481000036001205,1.698013186454773,-0.08179013431072235,0.36780160665512085,1870,93011
51,0,20,120,750,12.895825000000002,8.262990846072501,-0.0677051916718483,1.690964698791504,-0.0846148356795311,0.2616540491580963,1962,94973
52,0,20,120,375,8.892999999999999,7.315890425816412,-0.04931405931711197,1.6848427057266235,-0.06616248190402985,0.20292963087558746,1821,96794
53,0,20,120,762,13.1222,8.662127208686373,-0.0024759103544056416,1.6879761219024658,-0.019355671480298042,0.057595670223236084,2687,99481
54,0,20,120,718,14.0131,7.692357131190554,-0.008489931002259254,1.6938802003860474,-0.025428732857108116,0.2554350197315216,2262,101743
55,0,20,120,457,8.9937375,6.057884177102766,-0.1746896207332611,1.6528607606887817,-0.19121822714805603,0.6635767221450806,863,102606
56,0,20,120,567,16.02745,7.190510398675027,-0.05610506981611252,1.6861777305603027,-0.07296684384346008,0.16032250225543976,2657,105263
57,0,20,120,580,19.503025,12.800134684501819,-0.07788258790969849,1.6790295839309692,-0.09467288106679916,0.2760145962238312,1839,107102
58,0,20,120,702,4.1769125,3.189304389727193,-0.04949294030666351,1.6645019054412842,-0.06613795459270477,0.20676584541797638,2108,109210
59,0,20,120,574,14.7567625,9.605214914020365,-0.04719287157058716,1.656949520111084,-0.063762366771698,0.320862740278244,1895,111105
60,0,20,120,607,8.0945875,5.393139581563932,0.06455567479133606,1.6413500308990479,0.048142172396183014,0.2823660969734192,1665,112770
61,0,20,120,611,14.3631875,7.975192445981558,-0.015341515652835369,1.6701163053512573,-0.03204267844557762,0.3532611131668091,1964,114734
62,0,20,120,683,10.7106375,6.87949977173155,-0.04141375795006752,1.6518757343292236,-0.05793251469731331,0.2854374349117279,1997,116731
63,0,20,120,969,14.403374999999999,9.419333014232985,0.00703804986551404,1.6264140605926514,-0.009226091206073761,0.3887444734573364,1665,118396
64,0,20,120,693,8.910174999999999,5.398315612819841,-0.11603344231843948,1.6190991401672363,-0.132224440574646,0.29987502098083496,1240,119636
65,0,20,120,550,7.367449999999998,4.298242411575675,0.03798762336373329,1.6314160823822021,0.02167346328496933,0.12375469505786896,2518,122154
66,0,20,120,336,12.3554,7.352196979824036,-0.01810556650161743,1.6493685245513916,-0.03459925204515457,0.087812639772892,2821,124975
67,0,20,120,878,6.1722874999999995,5.012053422811519,-0.023402854800224304,1.602655053138733,-0.039429403841495514,0.199196457862854,1406,126381
68,0,20,120,584,14.061824999999999,9.03084791451564,-0.06740748137235641,1.6012427806854248,-0.08341991156339645,0.5448179244995117,1111,127492
69,0,20,120,966,12.780137499999999,8.036504495244685,0.08654196560382843,1.6030864715576172,0.0705111026763916,0.29672959446907043,1405,128897
70,0,20,120,305,11.381,7.2505460824162125,0.03149905800819397,1.6284873485565186,0.015214184299111366,0.21447111666202545,2247,131144
71,0,20,120,309,14.19225,8.186179069090862,-0.09342652559280396,1.6259748935699463,-0.10968627035617828,0.35996171832084656,2051,133195
72,0,20,120,647,12.281374999999999,8.974294924301429,0.00038530456367880106,1.6048967838287354,-0.015663662925362587,0.2748055160045624,1894,135089
73,0,20,120,364,10.5903875,7.202750367089527,0.05149562656879425,1.6025989055633545,0.03546963632106781,0.23903954029083252,1698,136787
74,0,20,120,673,12.0466625,7.539428532752472,-0.04893278330564499,1.5999877452850342,-0.06493265926837921,0.1770426481962204,2303,139090
75,0,20,120,891,5.1027000000000005,4.082529605368547,0.014767992310225964,1.581982135772705,-0.0010518291965126991,0.1989670991897583,1177,140267
76,0,20,120,637,10.573799999999999,7.839695474119636,-0.05788129195570946,1.6084493398666382,-0.07396578788757324,0.205346941947937,1875,142142
77,0,20,120,724,11.690887499999999,8.397569662768067,-0.021350694820284843,1.5927060842514038,-0.03727775439620018,0.22958330810070038,2066,144208
78,0,20,120,972,5.170887499999999,3.6198886674807187,-0.14896678924560547,1.5756189823150635,-0.1647229790687561,0.44997701048851013,1322,145530
79,0,20,120,496,8.8816125,6.557696774504767,-0.10855287313461304,1.5975075960159302,-0.1245279461145401,0.31107020378112793,2213,147743
80,1,50,200,693,19.7312875,10.081301052371382,0.026077263057231903,1.5259097814559937,0.010818165726959705,0.19832360744476318,2257,150000
81,1,50,200,825,27.362075,12.922198190048103,-0.12317001819610596,1.5342856645584106,-0.13851287961006165,0.5284193158149719,2043,152043
82,1,50,200,471,28.71225,12.77491845229272,-0.02435658872127533,1.5092356204986572,-0.039448946714401245,0.21427521109580994,2434,154477
83,1,50,200,334,20.82305,12.5760900441718,-0.0681375190615654,1.5166038274765015,-0.0833035558462143,0.3176860213279724,3095,157572
84,1,50,200,564,26.1071,14.481116994735888,-0.028806917369365692,1.5150132179260254,-0.043957047164440155,0.42687737941741943,2039,159611
85,1,50,200,978,40.7279875,20.65059290566117,-0.09214046597480774,1.496411681175232,-0.1071045845746994,0.307655394077301,3144,162755
86,1,50,200,708,36.7289125,18.43513750917397,0.04814222827553749,1.5186994075775146,0.03295523673295975,0.14995846152305603,3479,166234
87,1,50,200,342,44.8991375,20.638817981940512,-0.06549782305955887,1.5137934684753418,-0.08063575625419617,0.3510749042034149,4443,170677
88,1,50,200,988,23.353299999999997,12.079403816849716,-0.05160145461559296,1.46150541305542,-0.06621650606393814,0.3372790515422821,2170,172847
89,1,50,200,449,30.726662499999996,14.905378364319594,-0.03816350921988487,1.4767292737960815,-0.0529308021068573,0.385233998298645,2820,175667
90,1,50,200,799,16.1306875,9.625934510827806,0.09926141053438187,1.4759576320648193,0.08450183272361755,0.26197168231010437,3057,178724
91,1,50,200,978,44.0263875,23.137130094306514,-0.05039270594716072,1.4485068321228027,-0.06487777084112167,0.22042979300022125,3203,181927
