update,stage,num_jobs,max_steps,batch_arrival_seed,mean_undiscounted_return,mean_discounted_return,policy_loss,entropy,total_loss,grad_norm,env_steps_this_update,env_steps_cumulative
0,0,20,120,961,5.450937499999999,2.7536180270845385,0.015754221007227898,1.7815475463867188,-0.0020612534135580063,0.19569575786590576,1400,1400
1,0,20,120,778,12.066612500000002,5.358047552808741,-0.002182472962886095,1.7823964357376099,-0.020006436854600906,0.3384023904800415,1997,3397
2,0,20,120,704,8.040275,3.5250244254617984,-0.038963109254837036,1.783003807067871,-0.05679314583539963,0.4544503390789032,1507,4904
3,0,20,120,883,6.6492,3.7968014683156914,-0.003860513214021921,1.7822544574737549,-0.02168305777013302,0.15903253853321075,1540,6444
4,0,20,120,338,8.2219625,5.553928579781199,-0.008210113272070885,1.7822015285491943,-0.02603212743997574,0.20739705860614777,1518,7962
5,0,20,120,499,6.199224999999999,3.632875958117892,-0.010575861670076847,1.7812111377716064,-0.028387971222400665,0.18224099278450012,1264,9226
6,0,20,120,938,21.596437499999997,9.554342998474443,-0.007123123854398727,1.7805944681167603,-0.024929068982601166,0.24807438254356384,2850,12076
7,0,20,120,649,5.429662499999999,2.184092080046236,-0.007239209022372961,1.779833197593689,-0.02503754198551178,0.10631977766752243,2500,14576
8,0,20,120,392,10.9282125,4.853338074484441,-0.01651843450963497,1.7801660299301147,-0.03432009369134903,0.3271840512752533,2119,16695
9,0,20,120,383,8.1899,4.0273671353501825,-0.0024753555189818144,1.7788211107254028,-0.020263565704226494,0.07148152589797974,2081,18776
10,0,20,120,871,14.727775000000001,7.696061720408161,-0.017536403611302376,1.7767667770385742,-0.03530406951904297,0.3985590636730194,2032,20808
11,0,20,120,539,13.773487499999998,7.823756037986142,-0.02361110970377922,1.7762629985809326,-0.041373737156391144,0.20240947604179382,2793,23601
12,0,20,120,803,5.757225,3.3080198561207963,-0.03281325846910477,1.776661992073059,-0.05057987570762634,0.2956130802631378,1548,25149
13,0,20,120,993,5.15765,3.473531219618594,-0.00031068891985341907,1.7747066020965576,-0.018057754263281822,0.20595474541187286,1406,26555
14,0,20,120,634,8.4623625,4.825539759723865,-0.044240567833185196,1.7728935480117798,-0.06196950376033783,0.285695344209671,1732,28287
15,0,20,120,707,8.1812,4.228950062387087,-0.060963619500398636,1.770013451576233,-0.07866375148296356,0.49663040041923523,1516,29803
16,0,20,120,656,6.7344125,4.341690140807482,-0.00590188754722476,1.7690422534942627,-0.023592310026288033,0.18085789680480957,1641,31444
17,0,20,120,865,11.059537500000001,5.977444032528957,-0.028036005795001984,1.7700953483581543,-0.04573696106672287,0.21490474045276642,1964,33408
18,0,20,120,790,15.999112499999999,8.166265632030896,-0.008999696932733059,1.7694251537322998,-0.02669394761323929,0.23757468163967133,2226,35634
19,0,20,120,538,9.4143125,4.907508746826064,-0.014809033833444118,1.7652744054794312,-0.032461777329444885,0.14101377129554749,1932,37566
20,0,20,120,626,8.546875,5.771088335237593,-0.04622083157300949,1.7635207176208496,-0.06385603547096252,0.375718891620636,1300,38866
21,0,20,120,891,8.024524999999999,5.315578054234306,-0.030008986592292786,1.7570772171020508,-0.04757975786924362,0.1869528740644455,1740,40606
22,0,20,120,900,10.7788375,6.325080377016059,-0.020474379882216454,1.7627558708190918,-0.038101937621831894,0.2085740864276886,1937,42543
23,0,20,120,380,8.6312625,4.875345794103803,-0.014108252711594105,1.7534693479537964,-0.03164294734597206,0.2348811775445938,1778,44321
24,0,20,120,611,13.7138125,6.807357117621471,-0.04524804279208183,1.760221004486084,-0.06285025179386139,0.278457909822464,1906,46227
25,0,20,120,399,10.671949999999999,6.169159009705288,-0.004418147727847099,1.7554829120635986,-0.021972976624965668,0.21957048773765564,2105,48332
26,0,20,120,979,8.645225,5.668376911124688,-0.020015019923448563,1.7481361627578735,-0.037496380507946014,0.23587320744991302,1698,50030
27,0,20,120,865,17.367112499999998,9.159645296134464,-0.021853230893611908,1.7548763751983643,-0.03940199315547943,0.21252548694610596,2677,52707
28,0,20,120,876,7.909137499999999,4.6025982606559115,-0.055506717413663864,1.7430769205093384,-0.0729374885559082,0.2312142252922058,1328,54035
29,0,20,120,608,9.0098875,6.212938938105392,-0.003957088571041822,1.743033528327942,-0.02138742431998253,0.18165576457977295,1682,55717
30,0,20,120,486,6.316174999999999,2.8617384192964903,0.030349576845765114,1.7372277975082397,0.012977298349142075,0.1709069162607193,1584,57301
31,0,20,120,565,13.362875,8.204939108877392,-0.008997059427201748,1.735522747039795,-0.026352286338806152,0.34514883160591125,1432,58733
32,0,20,120,995,10.9218125,5.231637987497367,-0.004544539842754602,1.7345370054244995,-0.021889908239245415,0.13296407461166382,1905,60638
33,0,20,120,368,13.616074999999999,7.941475471885534,-0.04368383809924126,1.740541934967041,-0.061089254915714264,0.18317091464996338,2243,62881
34,0,20,120,978,12.2452875,6.641059636472624,-0.020152397453784943,1.7369393110275269,-0.03752179071307182,0.1792314350605011,2041,64922
35,0,20,120,917,13.679887499999998,8.18305358023245,-0.027736926451325417,1.7267671823501587,-0.045004598796367645,0.18276533484458923,1529,66451
36,0,20,120,804,7.143087499999998,3.1654921425844353,-0.06903304159641266,1.7254116535186768,-0.08628715574741364,0.3363632261753082,2252,68703
37,0,20,120,642,14.413125,9.218384875927597,-0.033664122223854065,1.7196038961410522,-0.05086015909910202,0.37484943866729736,1557,70260
38,0,20,120,732,14.870975,8.915114138934154,-0.04858984798192978,1.728265643119812,-0.06587250530719757,0.2637786269187927,1999,72259
39,0,20,120,764,5.946862499999999,3.8854246488835935,-0.06122216582298279,1.7186408042907715,-0.07840856909751892,0.2675092816352844,1341,73600
40,0,20,120,673,8.831150000000001,4.91833515791193,-0.1075582429766655,1.7112284898757935,-0.12467052787542343,0.4299924969673157,1251,74851
41,0,20,120,975,20.4508625,9.557102121643243,-0.04751153290271759,1.720710039138794,-0.06471863389015198,0.40758493542671204,2125,76976
42,0,20,120,430,13.2399875,8.289290171614788,-0.005309741012752056,1.7032272815704346,-0.0223420150578022,0.10810434818267822,1538,78514
