seed,agent_name,alpha,beta,gamma,num_jobs,steps_executed,completed_jobs,failed_jobs,completion_rate,value_weighted_completion_rate,uncapped_completion_rate,failure_rate,total_completed_value,total_job_value,total_compute_cost,avg_compute_cost_per_step,total_utility,completed_all_jobs,hit_step_budget
0,Reflex Agent,1.0,0.1,1.0,100,300,62,15,0.62,0.6806,0.81,0.15,216.31,317.82,896.252,2.9875,111.6848,False,True
1,Reflex Agent,1.0,0.1,1.0,100,300,63,19,0.63,0.6985,0.79,0.19,207.01,296.36,1038.028,3.4601,84.2072,False,True
2,Reflex Agent,1.0,0.1,1.0,100,300,61,18,0.61,0.6776,0.8,0.18,213.31,314.8,914.314,3.0477,103.8786,False,True
3,Reflex Agent,1.0,0.1,1.0,100,300,64,17,0.64,0.6845,0.78,0.17,204.2,298.34,441.442,1.4715,143.0558,False,True
4,Reflex Agent,1.0,0.1,1.0,100,300,65,13,0.65,0.7111,0.83,0.13,197.21,277.32,477.752,1.5925,136.4348,False,True
5,Reflex Agent,1.0,0.1,1.0,100,300,68,13,0.68,0.7326,0.86,0.13,208.95,285.23,771.78,2.5726,118.772,False,True
6,Reflex Agent,1.0,0.1,1.0,100,300,58,18,0.58,0.6592,0.8,0.18,195.46,296.52,727.56,2.4252,104.704,False,True
7,Reflex Agent,1.0,0.1,1.0,100,300,63,15,0.63,0.714,0.81,0.15,207.15,290.14,603.434,2.0114,131.8066,False,True
8,Reflex Agent,1.0,0.1,1.0,100,300,68,13,0.68,0.7516,0.84,0.13,235.57,313.41,1081.748,3.6058,114.3952,False,True
9,Reflex Agent,1.0,0.1,1.0,100,300,59,22,0.59,0.6201,0.73,0.22,191.1,308.18,863.882,2.8796,82.7118,False,True
10,Reflex Agent,1.0,0.1,1.0,100,300,59,16,0.59,0.6713,0.8,0.16,198.63,295.87,807.464,2.6915,101.8836,False,True
11,Reflex Agent,1.0,0.1,1.0,100,300,65,10,0.65,0.7129,0.88,0.1,214.74,301.21,1037.484,3.4583,100.9916,False,True
12,Reflex Agent,1.0,0.1,1.0,100,300,61,14,0.61,0.6824,0.82,0.14,201.02,294.57,830.042,2.7668,104.0158,False,True
13,Reflex Agent,1.0,0.1,1.0,100,300,66,11,0.66,0.7223,0.85,0.11,212.79,294.6,504.648,1.6822,151.3252,False,True
14,Reflex Agent,1.0,0.1,1.0,100,300,65,20,0.65,0.7262,0.74,0.2,213.61,294.13,683.854,2.2795,125.2246,False,True
15,Reflex Agent,1.0,0.1,1.0,100,300,58,17,0.58,0.6042,0.81,0.17,186.12,308.02,595.322,1.9844,109.5878,False,True
16,Reflex Agent,1.0,0.1,1.0,100,300,62,14,0.62,0.6865,0.81,0.14,204.54,297.94,1031.05,3.4368,87.435,False,True
17,Reflex Agent,1.0,0.1,1.0,100,300,63,15,0.63,0.6928,0.81,0.15,208.18,300.49,768.008,2.56,116.3792,False,True
18,Reflex Agent,1.0,0.1,1.0,100,300,70,10,0.7,0.7402,0.87,0.1,226.22,305.61,493.806,1.646,166.8394,False,True
19,Reflex Agent,1.0,0.1,1.0,100,300,61,9,0.61,0.675,0.86,0.09,201.32,298.24,1155.404,3.8513,76.7796,False,True
20,Reflex Agent,1.0,0.1,1.0,100,300,63,17,0.63,0.6484,0.79,0.17,194.23,299.56,727.812,2.426,104.4488,False,True
