update,stage,num_jobs,max_steps,batch_arrival_seed,mean_undiscounted_return,mean_discounted_return,policy_loss,entropy,total_loss,grad_norm,env_steps_this_update,env_steps_cumulative
0,0,20,120,300,6.648449999999999,3.244936501090356,-0.0006776392692700028,1.7812504768371582,-0.01849014312028885,0.1361784040927887,471,471
1,0,20,120,300,6.89775,4.294991353134165,0.045756470412015915,1.7806074619293213,0.02795039676129818,0.5089260935783386,301,772
2,0,20,120,300,9.58135,5.03038066324705,0.00724110146984458,1.7815053462982178,-0.01057395152747631,0.2248210906982422,568,1340
3,0,20,120,300,11.91615,4.174513168793169,0.021952582523226738,1.7826063632965088,0.004126518964767456,0.27232828736305237,583,1923
4,0,20,120,300,4.53115,2.5564203017852902,0.0006464055040851235,1.7839326858520508,-0.017192920669913292,0.21582311391830444,452,2375
5,0,20,120,300,1.63675,1.2687515190956302,-0.04992550611495972,1.7840015888214111,-0.06776551902294159,0.7189357876777649,61,2436
6,0,20,120,300,3.7521,2.9647671196884695,-0.0045143612660467625,1.7839083671569824,-0.02235344424843788,0.19358813762664795,189,2625
7,0,20,120,300,7.1122000000000005,4.697828356522442,-0.025661651045084,1.7832322120666504,-0.04349397122859955,0.45298972725868225,210,2835
8,0,20,120,300,8.187249999999999,4.122395284640561,-0.032760679721832275,1.7833068370819092,-0.050593748688697815,0.49416255950927734,767,3602
9,0,20,120,300,11.253599999999999,5.075057851546942,0.033128924667835236,1.78421151638031,0.01528681069612503,0.6153671145439148,649,4251
10,0,20,120,300,11.67595,5.7182388384556475,0.012727881781756878,1.7813080549240112,-0.005085199140012264,0.40031173825263977,476,4727
11,0,20,120,300,7.53825,4.157909306204518,-0.018124280497431755,1.780672311782837,-0.03593100234866142,0.3135954737663269,333,5060
12,0,20,120,300,14.084799999999998,8.365135847926876,-0.0034701344557106495,1.7826356887817383,-0.021296489983797073,0.19343818724155426,929,5989
13,0,20,120,300,11.946899999999998,6.374849293268566,-0.04254118725657463,1.7796465158462524,-0.060337651520967484,0.5202310085296631,575,6564
14,0,20,120,300,7.494799999999998,4.404899635683925,0.011776856146752834,1.780530333518982,-0.006028446368873119,0.2725342810153961,508,7072
15,0,20,120,300,7.143349999999998,4.195651033376517,0.004595682490617037,1.7818385362625122,-0.013222703710198402,0.11808393150568008,761,7833
16,0,20,120,300,6.877949999999999,2.8939154512054386,-0.01966758444905281,1.7792093753814697,-0.03745967894792557,0.19825336337089539,297,8130
17,0,20,120,300,4.810250000000001,2.5062769591763563,0.035469137132167816,1.7784427404403687,0.017684709280729294,0.498342365026474,187,8317
18,0,20,120,300,13.454049999999999,7.477020637241033,-0.027546077966690063,1.7794415950775146,-0.04534049332141876,0.2588074803352356,664,8981
19,0,20,120,300,10.514899999999997,4.3372909176272785,0.017165232449769974,1.7768183946609497,-0.0006029512733221054,0.4593809247016907,506,9487
20,0,20,120,300,10.759499999999997,5.082427167230919,-0.0450916662812233,1.777427077293396,-0.06286593526601791,0.3674921989440918,573,10060
