seed,agent_name,alpha,beta,gamma,num_jobs,steps_executed,completed_jobs,failed_jobs,completion_rate,value_weighted_completion_rate,uncapped_completion_rate,failure_rate,total_completed_value,total_job_value,total_compute_cost,avg_compute_cost_per_step,total_utility,completed_all_jobs,hit_step_budget
200,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,55,19,0.55,0.6135,0.71,0.19,180.73,294.61,431.76,1.4392,215.16,False,True
201,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,48,12,0.48,0.5529,0.76,0.12,171.7,310.54,787.462,2.6249,-148.662,False,True
202,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,42,13,0.42,0.5282,0.77,0.13,159.82,302.55,462.002,1.54,125.278,False,True
203,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,64,14,0.64,0.6978,0.82,0.14,211.37,302.92,573.16,1.9105,216.32,False,True
204,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,63,17,0.63,0.6979,0.81,0.17,212.37,304.32,663.746,2.2125,117.734,False,True
205,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,46,10,0.46,0.5403,0.79,0.1,148.73,275.26,611.976,2.0399,-57.056,False,True
206,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,60,14,0.6,0.6531,0.77,0.14,200.47,306.93,434.996,1.45,310.884,False,True
207,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,63,13,0.63,0.708,0.83,0.13,206.5,291.65,479.65,1.5988,294.35,False,True
208,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,51,13,0.51,0.5735,0.76,0.13,166.41,290.15,773.164,2.5772,-159.524,False,True
209,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,52,26,0.52,0.5572,0.68,0.26,165.47,296.95,675.366,2.2512,-117.486,False,True
210,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,52,10,0.52,0.6235,0.79,0.1,186.32,298.82,726.82,2.4227,-21.54,False,True
211,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,67,6,0.67,0.7566,0.9,0.06,229.53,303.36,289.562,0.9652,604.558,False,True
212,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,53,12,0.53,0.5951,0.82,0.12,176.57,296.7,687.154,2.2905,-28.874,False,True
213,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,62,13,0.62,0.7377,0.86,0.13,234.36,317.69,667.326,2.2244,218.114,False,True
214,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,52,20,0.52,0.5709,0.74,0.2,174.32,305.35,709.448,2.3648,-92.168,False,True
215,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,41,5,0.41,0.4867,0.79,0.05,144.75,297.4,626.806,2.0894,-67.806,False,True
216,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,64,8,0.64,0.7267,0.85,0.08,202.32,278.41,665.038,2.2168,112.242,False,True
217,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,45,14,0.45,0.5432,0.74,0.14,171.34,315.43,617.646,2.0588,11.714,False,True
218,"Tuned Utility-Based Agent (alpha=4.0, beta=1.0, gamma=4.0)",4.0,1.0,4.0,100,300,39,17,0.39,0.4544,0.7,0.17,133.03,292.77,547.872,1.8262,-83.752,False,True
