update,stage,num_jobs,max_steps,batch_arrival_seed,mean_undiscounted_return,mean_discounted_return,policy_loss,entropy,total_loss,grad_norm,env_steps_this_update,env_steps_cumulative
0,0,20,120,961,6.000462499999999,3.1824880469196883,0.01976776123046875,1.7815728187561035,0.0019520334899425507,0.22288878262043,1400,1400
1,0,20,120,778,11.691699999999999,5.344702739720049,-0.0018798033706843853,1.7829642295837402,-0.019709445536136627,0.34486696124076843,1997,3397
2,0,20,120,704,7.7855375,3.337863208986045,-0.0383078008890152,1.7836012840270996,-0.05614381283521652,0.45147866010665894,1507,4904
3,0,20,120,883,8.658962500000001,4.371369312263846,0.006162523757666349,1.7832210063934326,-0.011669686064124107,0.35471311211586,1543,6447
4,0,20,120,338,9.6047875,6.399934025383437,-0.0015942996833473444,1.7831252813339233,-0.01942555233836174,0.19939447939395905,1518,7965
5,0,20,120,499,6.5378375,3.7860479700169787,-0.025987770408391953,1.7825031280517578,-0.04381280392408371,0.26833054423332214,1264,9229
6,0,20,120,938,20.001012499999998,9.19088070074806,-0.010636692866683006,1.7818013429641724,-0.028454706072807312,0.2751680016517639,2850,12079
7,0,20,120,649,9.186924999999999,3.044284368177168,-0.004545312374830246,1.7815532684326172,-0.022360844537615776,0.07679614424705505,2500,14579
8,0,20,120,392,11.2277875,4.81065465172086,-0.027241453528404236,1.7815536260604858,-0.045056991279125214,0.41854774951934814,2119,16698
9,0,20,120,383,6.9024625,3.459707699220856,0.004419652279466391,1.780283808708191,-0.013383185490965843,0.11258985102176666,2081,18779
10,0,20,120,871,12.159199999999998,5.972934917780442,-0.021164368838071823,1.7782726287841797,-0.03894709423184395,0.23937033116817474,2032,20811
11,0,20,120,539,10.9988,6.504820345803051,-0.018134793266654015,1.7776381969451904,-0.03591117262840271,0.2075013667345047,2781,23592
12,0,20,120,803,6.0531875,3.7178085843933935,-0.003073305357247591,1.7773593664169312,-0.02084689773619175,0.24432210624217987,1548,25140
13,0,20,120,993,5.2982625,3.281426273269206,0.0052238889038562775,1.7767794132232666,-0.012543905526399612,0.1527518481016159,1406,26546
14,0,20,120,634,10.334724999999999,5.943392914723223,-0.03288092836737633,1.7753968238830566,-0.050634898245334625,0.252315491437912,1732,28278
15,0,20,120,707,7.855112500000001,3.630683377872555,-0.028001131489872932,1.7728551626205444,-0.045729681849479675,0.2415679693222046,1516,29794
16,0,20,120,656,5.3564,3.0359527823352197,0.008786533027887344,1.772855281829834,-0.008942019194364548,0.13444159924983978,1641,31435
17,0,20,120,865,11.410674999999998,5.515590170471407,-0.017106065526604652,1.7739042043685913,-0.034845106303691864,0.13834142684936523,1964,33399
18,0,20,120,790,13.2619875,7.705723549103041,-0.021060775965452194,1.7732863426208496,-0.03879363834857941,0.28429463505744934,2226,35625
19,0,20,120,538,7.950787500000001,4.170006028919749,-0.02542060613632202,1.7698379755020142,-0.04311898350715637,0.20697517693042755,1932,37557
20,0,20,120,626,7.982887499999999,5.39885258515842,-0.05613107606768608,1.7690593004226685,-0.07382167130708694,0.3815714418888092,1300,38857
21,0,20,120,891,9.456825,6.054593273242942,-0.03534940630197525,1.7643632888793945,-0.052993036806583405,0.27893516421318054,1740,40597
22,0,20,120,900,10.687637500000001,6.542281296604534,-0.007033316884189844,1.7683274745941162,-0.024716591462492943,0.19340206682682037,1937,42534
23,0,20,120,380,7.892525000000001,5.082957988077261,-0.00559159554541111,1.7605211734771729,-0.023196807131171227,0.11647656559944153,1819,44353
24,0,20,120,611,13.0013875,6.588874460241968,-0.016742205247282982,1.763990879058838,-0.034382112324237823,0.20790255069732666,1906,46259
25,0,20,120,399,9.4029375,5.251971842566563,0.0013431503903120756,1.762843132019043,-0.016285281628370285,0.16294501721858978,2105,48364
26,0,20,120,979,10.0359875,6.603715800117763,-0.01366490125656128,1.757270097732544,-0.03123760223388672,0.20853231847286224,1698,50062
27,0,20,120,865,15.491137499999999,8.676667948165584,-0.01098571252077818,1.7617573738098145,-0.028603285551071167,0.2295958250761032,2677,52739
28,0,20,120,876,6.9645,4.49749222661872,-0.015283886343240738,1.7557893991470337,-0.03284177929162979,0.14125850796699524,1627,54366
29,0,20,120,608,8.7826375,5.8840374902410595,-0.036126915365457535,1.7518680095672607,-0.05364559590816498,0.2128332108259201,1682,56048
30,0,20,120,486,7.071125,2.978190107417003,-0.051765210926532745,1.746888279914856,-0.06923409551382065,0.20239727199077606,1584,57632
31,0,20,120,565,10.494475000000001,6.734348506423419,-0.04021313041448593,1.7433066368103027,-0.05764619633555412,0.47461020946502686,1432,59064
32,0,20,120,995,11.538874999999999,6.246114785970721,0.011295159347355366,1.7434197664260864,-0.006139037199318409,0.21514327824115753,1845,60909
33,0,20,120,368,14.5212125,7.993322428080353,-0.027827894315123558,1.74767005443573,-0.04530459642410278,0.18345360457897186,2243,63152
34,0,20,120,978,10.682699999999999,5.792706748345951,0.008178850635886192,1.7436895370483398,-0.009258044883608818,0.18541209399700165,1971,65123
35,0,20,120,917,16.07595,10.001190392664226,-0.12107658386230469,1.7368146181106567,-0.138444721698761,0.5301027894020081,1529,66652
36,0,20,120,804,7.001699999999999,3.944463596786841,-0.03243381530046463,1.7341032028198242,-0.04977484792470932,0.2921094596385956,2343,68995
37,0,20,120,642,13.984037500000001,9.502183721889395,-0.05517170578241348,1.726993441581726,-0.07244163751602173,0.276216983795166,1557,70552
38,0,20,120,732,12.984574999999998,7.9618163256750325,-0.029636185616254807,1.735503077507019,-0.04699121415615082,0.3315295875072479,1999,72551
39,0,20,120,764,5.5456625,3.4904184430712846,0.004682639148086309,1.727449655532837,-0.012591857463121414,0.09927624464035034,1341,73892
40,0,20,120,673,8.6036125,4.844300038886454,-0.04906299710273743,1.715981125831604,-0.06622280925512314,0.308584600687027,1251,75143
41,0,20,120,975,16.226212500000003,7.946025219715612,-0.05133579671382904,1.7271662950515747,-0.06860745698213577,0.27982378005981445,2077,77220
42,0,20,120,430,9.7282125,6.0281067262151,-0.042759452015161514,1.710485577583313,-0.05986430495977402,0.22285021841526031,1538,78758
43,0,20,120,957,10.448799999999999,5.493745540753296,-0.07564894109964371,1.7177530527114868,-0.0928264707326889,0.3595055341720581,1882,80640
44,0,20,120,795,9.4432125,5.676963116832485,-0.0057813008315861225,1.7074953317642212,-0.022856254130601883,0.26562929153442383,1020,81660
45,0,20,120,329,12.4882375,7.891009916707749,-0.06616629660129547,1.7202659845352173,-0.08336895704269409,0.24395309388637543,1880,83540
46,0,20,120,631,14.113412499999999,9.932415321074298,0.0031523690558969975,1.7036750316619873,-0.013884380459785461,0.13401645421981812,1954,85494
47,0,20,120,471,11.4165875,8.229336353992963,-0.028464145958423615,1.6956297159194946,-0.04542044550180435,0.13922417163848877,2182,87676
48,0,20,120,808,18.316475,11.135544044899698,-0.04867147281765938,1.6942020654678345,-0.06561349332332611,0.20730778574943542,2132,89808
49,0,20,120,729,14.60015,9.753191359950279,-0.09830163419246674,1.6762288808822632,-0.11506392061710358,0.4669760763645172,1514,91322
50,0,20,120,780,19.953025,12.06423507629692,0.011449215933680534,1.6938506364822388,-0.0054892897605896,0.16457396745681763,1870,93192
51,0,20,120,750,16.249650000000003,10.169506460441912,0.007917647249996662,1.6853361129760742,-0.008935713209211826,0.16676029562950134,1962,95154
52,0,20,120,375,11.900287500000001,8.974218912417939,0.0010213417699560523,1.6824480295181274,-0.015803137794137,0.053957659751176834,1821,96975
53,0,20,120,762,14.276649999999998,9.474091099054567,-0.04347333684563637,1.6865973472595215,-0.0603393092751503,0.14276646077632904,2789,99764
54,0,20,120,718,15.674737499999999,9.783519799535618,-0.035590458661317825,1.691487193107605,-0.05250532925128937,0.16147667169570923,2297,102061
55,0,20,120,457,12.40495,8.216370507111684,-0.19725915789604187,1.6504490375518799,-0.21376365423202515,0.6484763026237488,933,102994
56,0,20,120,567,18.2059875,8.7039299554036,-0.0017506190342828631,1.675209641456604,-0.01850271411240101,0.11840534210205078,2520,105514
57,0,20,120,580,22.4842375,13.964164601159247,-0.07210007309913635,1.6788392066955566,-0.08888846635818481,0.35618454217910767,1839,107353
58,0,20,120,702,10.0152375,6.32139534934744,-0.03159642219543457,1.6664361953735352,-0.04826078563928604,0.17070063948631287,2116,109469
59,0,20,120,574,17.9672625,11.650039505763012,-0.019663803279399872,1.6594785451889038,-0.03625858575105667,0.2653264105319977,1895,111364
60,0,20,120,607,14.428687499999999,9.214951370828874,-0.02645708993077278,1.6412733793258667,-0.042869821190834045,0.26907622814178467,1665,113029
61,0,20,120,611,19.111125,10.797944176907063,-0.03927323967218399,1.6688419580459595,-0.05596166104078293,0.2727493643760681,1894,114923
62,0,20,120,683,15.918487500000001,10.408485677143846,-0.1617177128791809,1.6482104063034058,-0.17819981276988983,0.5063038468360901,1695,116618
63,0,20,120,969,17.9953,11.570387747010837,-0.007773888763040304,1.634475827217102,-0.02411864697933197,0.20857863128185272,1889,118507
64,0,20,120,693,12.3324875,6.921344194185293,0.0466022752225399,1.6102112531661987,0.03050016239285469,0.3207988739013672,1216,119723
