seed,step,action,state_cpu_load,state_ram_available,state_queue_depth,state_spot_price,state_dag_ready_nodes,state_job_priority,state_deadline_urgency,state_recent_failures,step_cost,delta_value,delta_risk,reward,cumulative_reward,running_tasks,completed_jobs,failed_jobs,cpu_in_use,ram_in_use,queue_depth,spot_price,prob_Execute_Ready_Job,prob_Defer_Job,prob_Scale_Up,prob_Scale_Down,prob_Reprioritize_Queue,prob_Pause_LowPriority_Job,logit_Execute_Ready_Job,logit_Defer_Job,logit_Scale_Up,logit_Scale_Down,logit_Reprioritize_Queue,logit_Pause_LowPriority_Job
200,0,Execute_Ready_Job,0.0,1.0,1.0,0.38,1.0,0.6128,0.7582,0.0,0.476,0.0,0.0,-0.0476,-0.0476,1,0,0,1,2,179,0.34,0.2366,0.1601,0.1616,0.132,0.1686,0.1411,0.39,-0.001,0.009,-0.194,0.051,-0.127
200,1,Execute_Ready_Job,0.1,0.875,1.0,0.34,1.0,0.6128,0.7582,0.0,0.392,0.0,0.0,-0.039200000000000006,-0.08680000000000002,1,0,0,1,2,178,0.28,0.2336,0.1617,0.1634,0.132,0.1678,0.1415,0.377,0.009,0.02,-0.194,0.046,-0.124
200,2,Execute_Ready_Job,0.1,0.875,1.0,0.28,1.0,0.6128,0.7582,0.0,0.0,0.0,0.2,-0.2,-0.28680000000000005,0,0,1,0,0,177,0.31,0.2334,0.1622,0.1636,0.1322,0.1677,0.141,0.374,0.01,0.019,-0.195,0.043,-0.13
200,3,Execute_Ready_Job,0.0,1.0,1.0,0.31,1.0,0.6091,0.7586,0.2,0.6840000000000002,0.0,-0.2,0.1316,-0.15520000000000006,1,0,1,1,3,176,0.38,0.2339,0.1631,0.1602,0.1345,0.1675,0.1408,0.385,0.024,0.006,-0.169,0.05,-0.123
200,4,Execute_Ready_Job,0.1,0.8125,1.0,0.38,1.0,0.6091,0.7586,0.0,1.5120000000000002,0.0,0.0,-0.15120000000000003,-0.3064000000000001,2,0,1,2,6,175,0.42,0.2323,0.1621,0.1636,0.1321,0.1678,0.1421,0.372,0.012,0.021,-0.193,0.047,-0.119
200,5,Execute_Ready_Job,0.2,0.625,1.0,0.42,1.0,0.6091,0.7586,0.0,1.4760000000000002,0.0,0.0,-0.14760000000000004,-0.4540000000000002,2,0,1,2,6,174,0.41,0.2277,0.1639,0.1657,0.132,0.1672,0.1435,0.354,0.025,0.036,-0.192,0.044,-0.108
200,6,Execute_Ready_Job,0.2,0.625,1.0,0.41,1.0,0.6091,0.7586,0.0,2.016,0.0,0.0,-0.2016,-0.6556000000000002,2,0,1,3,6,173,0.48,0.2277,0.164,0.1657,0.132,0.1672,0.1434,0.353,0.025,0.035,-0.192,0.044,-0.109
200,7,Execute_Ready_Job,0.3,0.625,1.0,0.48,1.0,0.6091,0.7586,0.0,2.3520000000000003,0.0,0.0,-0.23520000000000005,-0.8908000000000003,2,0,1,4,6,173,0.49,0.2277,0.1633,0.1664,0.1312,0.1669,0.1445,0.359,0.026,0.046,-0.192,0.048,-0.096
200,8,Execute_Ready_Job,0.4,0.625,1.0,0.49,1.0,0.6091,0.7586,0.0,3.0239999999999996,0.0,0.0,-0.3024,-1.1932000000000003,2,0,1,6,9,172,0.42,0.2274,0.1631,0.1674,0.1307,0.1664,0.145,0.362,0.029,0.055,-0.192,0.049,-0.088
200,9,Execute_Ready_Job,0.6,0.4375,1.0,0.42,1.0,0.6091,0.7586,0.0,2.88,0.0,0.0,-0.288,-1.4812000000000003,2,0,1,6,9,171,0.4,0.2216,0.1659,0.1711,0.1305,0.165,0.1458,0.337,0.047,0.078,-0.193,0.042,-0.082
