lhs,rhs,metric,n_pairs,n_nonzero,mean_delta,median_delta,statistic,p_value
rl_v1_seed7,rl_seed7,total_utility,50,0,0.0,0.0,nan,nan
rl_v1_seed7,rl_seed7,completion_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed7,rl_seed7,value_weighted_completion_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed7,rl_seed7,uncapped_completion_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed7,rl_seed7,failure_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed7,rl_seed7,total_completed_value,50,0,0.0,0.0,nan,nan
rl_v1_seed7,rl_seed7,total_compute_cost,50,0,0.0,0.0,nan,nan
rl_v1_seed7,rl_seed7,avg_compute_cost_per_step,50,0,0.0,0.0,nan,nan
rl_v1_seed11,rl_seed11,total_utility,50,0,0.0,0.0,nan,nan
rl_v1_seed11,rl_seed11,completion_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed11,rl_seed11,value_weighted_completion_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed11,rl_seed11,uncapped_completion_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed11,rl_seed11,failure_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed11,rl_seed11,total_completed_value,50,0,0.0,0.0,nan,nan
rl_v1_seed11,rl_seed11,total_compute_cost,50,0,0.0,0.0,nan,nan
rl_v1_seed11,rl_seed11,avg_compute_cost_per_step,50,0,0.0,0.0,nan,nan
rl_v1_seed13,rl_seed13,total_utility,50,0,0.0,0.0,nan,nan
rl_v1_seed13,rl_seed13,completion_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed13,rl_seed13,value_weighted_completion_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed13,rl_seed13,uncapped_completion_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed13,rl_seed13,failure_rate,50,0,0.0,0.0,nan,nan
rl_v1_seed13,rl_seed13,total_completed_value,50,0,0.0,0.0,nan,nan
rl_v1_seed13,rl_seed13,total_compute_cost,50,0,0.0,0.0,nan,nan
rl_v1_seed13,rl_seed13,avg_compute_cost_per_step,50,0,0.0,0.0,nan,nan
