seed,step,action,state_cpu_load,state_ram_available,state_queue_depth,state_spot_price,state_dag_ready_nodes,state_job_priority,state_deadline_urgency,state_recent_failures,step_cost,delta_value,delta_risk,reward,cumulative_reward,running_tasks,completed_jobs,failed_jobs,cpu_in_use,ram_in_use,queue_depth,spot_price,prob_Execute_Ready_Job,prob_Defer_Job,prob_Scale_Up,prob_Scale_Down,prob_Reprioritize_Queue,prob_Pause_LowPriority_Job,logit_Execute_Ready_Job,logit_Defer_Job,logit_Scale_Up,logit_Scale_Down,logit_Reprioritize_Queue,logit_Pause_LowPriority_Job
200,0,Execute_Ready_Job,0.0,1.0,1.0,0.38,1.0,0.6128,0.7582,0.0,0.476,0.0,0.0,-0.0476,-0.0476,1,0,0,1,2,179,0.34,0.238,0.1591,0.1709,0.1504,0.1419,0.1396,0.417,0.014,0.086,-0.042,-0.1,-0.117
200,1,Execute_Ready_Job,0.1,0.875,1.0,0.34,1.0,0.6128,0.7582,0.0,0.392,0.0,0.0,-0.039200000000000006,-0.08680000000000002,1,0,0,1,2,178,0.28,0.2387,0.16,0.1702,0.151,0.1412,0.1389,0.418,0.019,0.08,-0.04,-0.106,-0.123
200,2,Execute_Ready_Job,0.1,0.875,1.0,0.28,1.0,0.6128,0.7582,0.0,0.0,0.0,0.2,-0.2,-0.28680000000000005,0,0,1,0,0,177,0.31,0.2383,0.1605,0.1699,0.152,0.1405,0.1389,0.415,0.02,0.077,-0.035,-0.114,-0.125
200,3,Execute_Ready_Job,0.0,1.0,1.0,0.31,1.0,0.6091,0.7586,0.2,0.6840000000000002,0.0,-0.2,0.1316,-0.15520000000000006,1,0,1,1,3,176,0.38,0.2374,0.1616,0.1697,0.1511,0.1396,0.1406,0.413,0.029,0.078,-0.038,-0.118,-0.11
200,4,Execute_Ready_Job,0.1,0.8125,1.0,0.38,1.0,0.6091,0.7586,0.0,1.5120000000000002,0.0,0.0,-0.15120000000000003,-0.3064000000000001,2,0,1,2,6,175,0.42,0.2388,0.1598,0.1704,0.1509,0.1411,0.139,0.418,0.016,0.081,-0.041,-0.108,-0.123
200,5,Execute_Ready_Job,0.2,0.625,1.0,0.42,1.0,0.6091,0.7586,0.0,1.4760000000000002,0.0,0.0,-0.14760000000000004,-0.4540000000000002,2,0,1,2,6,174,0.41,0.2403,0.1603,0.1697,0.1503,0.1417,0.1376,0.425,0.02,0.077,-0.044,-0.103,-0.133
200,6,Execute_Ready_Job,0.2,0.625,1.0,0.41,1.0,0.6091,0.7586,0.0,2.016,0.0,0.0,-0.2016,-0.6556000000000002,2,0,1,3,6,173,0.48,0.2403,0.1604,0.1696,0.1504,0.1417,0.1375,0.425,0.02,0.077,-0.043,-0.103,-0.134
200,7,Execute_Ready_Job,0.3,0.625,1.0,0.48,1.0,0.6091,0.7586,0.0,2.3520000000000003,0.0,0.0,-0.23520000000000005,-0.8908000000000003,2,0,1,4,6,173,0.49,0.2406,0.16,0.1704,0.149,0.1416,0.1383,0.429,0.021,0.084,-0.05,-0.102,-0.125
200,8,Execute_Ready_Job,0.4,0.625,1.0,0.49,1.0,0.6091,0.7586,0.0,3.0239999999999996,0.0,0.0,-0.3024,-1.1932000000000003,2,0,1,6,9,172,0.42,0.2407,0.1602,0.1706,0.1485,0.1411,0.1389,0.43,0.023,0.086,-0.053,-0.104,-0.12
200,9,Execute_Ready_Job,0.6,0.4375,1.0,0.42,1.0,0.6091,0.7586,0.0,2.88,0.0,0.0,-0.288,-1.4812000000000003,2,0,1,6,9,171,0.4,0.2416,0.1618,0.1692,0.1493,0.1404,0.1376,0.432,0.032,0.076,-0.049,-0.11,-0.13
200,10,Execute_Ready_Job,0.6,0.4375,1.0,0.4,1.0,0.6091,0.7586,0.0,2.052,0.0,0.2,-0.4052,-1.8864000000000003,2,0,2,5,6,170,0.38,0.2415,0.162,0.1691,0.1496,0.1402,0.1376,0.431,0.032,0.075,-0.047,-0.112,-0.131
200,11,Execute_Ready_Job,0.5,0.625,1.0,0.38,1.0,0.6067,0.7573,0.2,0.82,0.0,-0.2,0.11800000000000001,-1.7684000000000002,1,0,2,2,2,172,0.41,0.2404,0.1634,0.1689,0.149,0.1387,0.1395,0.43,0.043,0.077,-0.048,-0.12,-0.114
200,12,Execute_Ready_Job,0.2,0.875,1.0,0.41,1.0,0.6067,0.7573,0.0,2.2800000000000002,0.0,0.0,-0.22800000000000004,-1.9964000000000002,1,0,2,6,6,172,0.38,0.2386,0.1596,0.171,0.1499,0.1405,0.1403,0.419,0.017,0.086,-0.045,-0.11,-0.112
200,13,Execute_Ready_Job,0.6,0.625,1.0,0.38,1.0,0.6067,0.7573,0.0,3.78,0.0,0.0,-0.378,-2.3744,2,0,2,9,9,171,0.42,0.24,0.1616,0.1701,0.1496,0.1389,0.1398,0.426,0.03,0.081,-0.047,-0.121,-0.115
200,14,Execute_Ready_Job,0.9,0.4375,1.0,0.42,1.0,0.6067,0.7573,0.0,3.6,0.0,0.0,-0.36000000000000004,-2.7344,2,0,2,9,9,171,0.4,0.2409,0.1625,0.1698,0.1487,0.1383,0.1399,0.43,0.037,0.081,-0.052,-0.124,-0.113
