alpha,beta,gamma,cell_id,is_reference,reference_name,num_seeds,mean_utility_mean,mean_utility_std,cell_utility_mean,completion_rate_mean,value_weighted_completion_rate_mean,uncapped_completion_rate_mean,cost_mean,failure_rate_mean
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,20,113.87735,28.717397,56.938675,0.5415,0.61477,0.5415,548.5865,0.144
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,20,113.87735,28.717397,49.738675,0.5415,0.61477,0.5415,548.5865,0.144
0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,20,113.87735,28.717397,35.338675,0.5415,0.61477,0.5415,548.5865,0.144
0.5,0.05,4.0,alpha=0.5_beta=0.05_gamma=4,False,,20,109.58723,27.339767,4.743615,0.5215,0.598265,0.5215,543.8477,0.143
0.5,0.1,0.5,alpha=0.5_beta=0.1_gamma=0.5,False,,20,113.87735,28.717397,29.50935,0.5415,0.61477,0.5415,548.5865,0.144
0.5,0.1,1.0,alpha=0.5_beta=0.1_gamma=1,False,,20,113.87735,28.717397,22.30935,0.5415,0.61477,0.5415,548.5865,0.144
0.5,0.1,2.0,alpha=0.5_beta=0.1_gamma=2,False,,20,113.87735,28.717397,7.90935,0.5415,0.61477,0.5415,548.5865,0.144
0.5,0.1,4.0,alpha=0.5_beta=0.1_gamma=4,False,,20,110.69547,26.727736,-23.38703,0.5295,0.606045,0.5295,552.6953,0.146
0.5,0.25,0.5,alpha=0.5_beta=0.25_gamma=0.5,False,,20,113.87735,28.717397,-52.778625,0.5415,0.61477,0.5415,548.5865,0.144
0.5,0.25,1.0,alpha=0.5_beta=0.25_gamma=1,False,,20,113.87735,28.717397,-59.978625,0.5415,0.61477,0.5415,548.5865,0.144
0.5,0.25,2.0,alpha=0.5_beta=0.25_gamma=2,False,,20,113.67049,28.219618,-74.100775,0.5395,0.613275,0.5395,547.4301,0.143
0.5,0.25,4.0,alpha=0.5_beta=0.25_gamma=4,False,,20,110.52585,25.914586,-110.954375,0.538,0.6122,0.538,565.0865,0.152
0.5,0.5,0.5,alpha=0.5_beta=0.5_gamma=0.5,False,,20,113.87735,28.717397,-189.92525,0.5415,0.61477,0.5415,548.5865,0.144
0.5,0.5,1.0,alpha=0.5_beta=0.5_gamma=1,False,,20,113.87735,28.717397,-197.12525,0.5415,0.61477,0.5415,548.5865,0.144
