projection,alpha,beta,gamma,cell_id,is_reference,reference_name,mean_utility_mean,completion_rate_mean,cost_mean,failure_rate_mean
completion_vs_cost,0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,0.5,0.05,2.0,alpha=0.5_beta=0.05_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,0.5,0.1,0.5,alpha=0.5_beta=0.1_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,0.5,0.1,1.0,alpha=0.5_beta=0.1_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,0.5,0.1,2.0,alpha=0.5_beta=0.1_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,0.5,0.25,0.5,alpha=0.5_beta=0.25_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,0.5,0.25,1.0,alpha=0.5_beta=0.25_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,0.5,0.25,2.0,alpha=0.5_beta=0.25_gamma=2,False,,113.67049,0.5395,547.4301,0.143
completion_vs_cost,0.5,0.5,0.5,alpha=0.5_beta=0.5_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,0.5,0.5,1.0,alpha=0.5_beta=0.5_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,0.5,0.5,4.0,alpha=0.5_beta=0.5_gamma=4,False,,105.27943,0.5055,527.6557,0.145
completion_vs_cost,0.5,1.0,0.5,alpha=0.5_beta=1_gamma=0.5,False,,113.88378,0.541,547.9472,0.1435
completion_vs_cost,0.5,1.0,1.0,alpha=0.5_beta=1_gamma=1,False,,113.0901,0.538,546.064,0.1455
completion_vs_cost,0.5,1.0,4.0,alpha=0.5_beta=1_gamma=4,False,,100.86168,0.475,503.8382,0.134
completion_vs_cost,1.0,0.05,0.5,alpha=1_beta=0.05_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,1.0,0.05,1.0,alpha=1_beta=0.05_gamma=1,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,1.0,0.05,2.0,alpha=1_beta=0.05_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,1.0,0.05,4.0,alpha=1_beta=0.05_gamma=4,False,,113.40298,0.5385,546.9552,0.1435
completion_vs_cost,1.0,0.1,0.5,alpha=1_beta=0.1_gamma=0.5,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,1.0,0.1,1.0,alpha=1_beta=0.1_gamma=1,True,phase1_default,113.87735,0.5415,548.5865,0.144
completion_vs_cost,1.0,0.1,2.0,alpha=1_beta=0.1_gamma=2,False,,113.87735,0.5415,548.5865,0.144
completion_vs_cost,1.0,0.1,4.0,alpha=1_beta=0.1_gamma=4,False,,113.40298,0.5385,546.9552,0.1435
