alpha,beta,gamma,cell_id,is_reference,reference_name,seed,agent_name,mean_utility,cell_utility,completion_rate,value_weighted_completion_rate,uncapped_completion_rate,cost,failure_rate,total_completed_value,total_job_value,completed_jobs,failed_jobs,steps_executed,hit_step_budget
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,100,Utility-Based Agent (Non-Learning Baseline),123.8726,61.9363,0.56,0.6601,0.56,587.674,0.17,199.64,302.44,56,17,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,101,Utility-Based Agent (Non-Learning Baseline),96.015,48.0075,0.57,0.632,0.57,755.75,0.21,192.59,304.75,57,21,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,102,Utility-Based Agent (Non-Learning Baseline),121.3546,60.6773,0.58,0.625,0.58,579.454,0.18,197.3,315.67,58,18,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,103,Utility-Based Agent (Non-Learning Baseline),154.1008,77.0504,0.68,0.7222,0.68,396.792,0.16,209.78,290.48,68,16,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,104,Utility-Based Agent (Non-Learning Baseline),128.375,64.1875,0.59,0.672,0.59,721.95,0.1,210.57,313.35,59,10,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,105,Utility-Based Agent (Non-Learning Baseline),56.6112,28.3056,0.29,0.352,0.29,415.088,0.08,106.12,301.48,29,8,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,106,Utility-Based Agent (Non-Learning Baseline),166.4012,83.2006,0.63,0.7219,0.63,524.688,0.11,229.87,318.44,63,11,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,107,Utility-Based Agent (Non-Learning Baseline),103.0862,51.5431,0.48,0.5821,0.48,531.738,0.08,164.26,282.18,48,8,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,108,Utility-Based Agent (Non-Learning Baseline),113.2962,56.6481,0.58,0.6234,0.58,714.438,0.09,193.74,310.76,58,9,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,109,Utility-Based Agent (Non-Learning Baseline),78.7434,39.3717,0.48,0.5667,0.48,629.366,0.2,161.68,285.3,48,20,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,110,Utility-Based Agent (Non-Learning Baseline),104.557,52.2785,0.56,0.6661,0.56,769.63,0.15,196.52,295.03,56,15,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,111,Utility-Based Agent (Non-Learning Baseline),75.9342,37.9671,0.45,0.5333,0.45,587.258,0.09,143.66,269.36,45,9,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,112,Utility-Based Agent (Non-Learning Baseline),111.2254,55.6127,0.46,0.5463,0.46,441.846,0.11,166.41,304.64,46,11,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,113,Utility-Based Agent (Non-Learning Baseline),143.0978,71.5489,0.61,0.6544,0.61,324.922,0.18,193.59,295.82,61,18,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,114,Utility-Based Agent (Non-Learning Baseline),151.0642,75.5321,0.64,0.6851,0.64,429.658,0.15,209.03,305.11,64,15,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,115,Utility-Based Agent (Non-Learning Baseline),78.0918,39.0459,0.38,0.4947,0.38,558.382,0.1,143.93,290.94,38,10,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,116,Utility-Based Agent (Non-Learning Baseline),93.7382,46.8691,0.58,0.6475,0.58,717.018,0.15,180.44,278.66,58,15,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,117,Utility-Based Agent (Non-Learning Baseline),132.1446,66.0723,0.56,0.6579,0.56,368.954,0.13,182.04,276.68,56,13,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,118,Utility-Based Agent (Non-Learning Baseline),126.317,63.1585,0.58,0.6377,0.58,413.83,0.22,189.7,297.48,58,22,300,True
0.5,0.05,0.5,alpha=0.5_beta=0.05_gamma=0.5,False,,119,Utility-Based Agent (Non-Learning Baseline),119.5206,59.7603,0.57,0.615,0.57,503.294,0.22,191.85,311.96,57,22,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,100,Utility-Based Agent (Non-Learning Baseline),123.8726,53.4363,0.56,0.6601,0.56,587.674,0.17,199.64,302.44,56,17,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,101,Utility-Based Agent (Non-Learning Baseline),96.015,37.5075,0.57,0.632,0.57,755.75,0.21,192.59,304.75,57,21,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,102,Utility-Based Agent (Non-Learning Baseline),121.3546,51.6773,0.58,0.625,0.58,579.454,0.18,197.3,315.67,58,18,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,103,Utility-Based Agent (Non-Learning Baseline),154.1008,69.0504,0.68,0.7222,0.68,396.792,0.16,209.78,290.48,68,16,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,104,Utility-Based Agent (Non-Learning Baseline),128.375,59.1875,0.59,0.672,0.59,721.95,0.1,210.57,313.35,59,10,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,105,Utility-Based Agent (Non-Learning Baseline),56.6112,24.3056,0.29,0.352,0.29,415.088,0.08,106.12,301.48,29,8,300,True
0.5,0.05,1.0,alpha=0.5_beta=0.05_gamma=1,False,,106,Utility-Based Agent (Non-Learning Baseline),166.4012,77.7006,0.63,0.7219,0.63,524.688,0.11,229.87,318.44,63,11,300,True
